@relation polish-compan-weka.filters.unsupervised.attribute.ReplaceMissingValues-unset-class-temporarily

@attribute Attr1 numeric
@attribute Attr2 numeric
@attribute Attr3 numeric
@attribute Attr4 numeric
@attribute Attr6 numeric
@attribute Attr7 numeric
@attribute Attr12 numeric
@attribute Attr14 numeric
@attribute Attr16 numeric
@attribute Attr25 numeric
@attribute Attr29 numeric
@attribute Attr33 numeric
@attribute Attr38 numeric
@attribute Attr50 numeric
@attribute Attr51 numeric
@attribute Attr55 numeric
@attribute Class {0,1}

@data
0.015187,0.77062,-0.18476,0.75143,0,0.017342,0.023331,0.017342,0.07465,0.057476,6.2005,1.9223,0.22938,0.72479,0.7433,-293140,0
-0.00175,0.50246,0.011944,1.0238,0.031605,0.000121,0.000241,0.000121,0.004884,0.49535,5.1479,0.79918,0.49669,1.0211,0.50112,1679,0
1.2296,0.50782,0.13648,1.2688,0,1.2296,2.4213,1.2296,2.4269,1.2296,3.0153,3.9242,0.49219,1.2688,0.50782,141.36,0
0.14813,0.50448,0.38905,2.0837,0.19262,0.17695,0.49291,0.17695,0.36307,0.49499,3.1746,4.6916,0.64049,1.4828,0.35899,581.63,0
0.21043,0.31931,0.28987,1.9565,0.22662,0.25016,0.82549,0.25016,0.86103,0.58916,4.5752,8.553,0.60542,1.8569,0.30305,10900,0
0.19437,0.49453,0.14058,1.3228,0.23399,0.25086,0.57608,0.25086,0.53454,0.50547,4.5365,2.3385,0.56455,1.1648,0.43545,4835,0
0.057995,0.25237,0.48274,2.9128,0.12024,0.076807,0.30434,0.076807,0.35176,0.67506,4.9925,5.0321,0.67506,2.9128,0.25237,47450,0
0.32528,0.28601,0.57792,3.2572,0,0.32528,1.2705,0.32528,2.2131,0.68304,4.1252,3.8877,0.71399,2.9158,0.25603,7710.7,0
-0.22197,0.99486,-0.28383,0.7147,0,0.10934,0.1099,0.10934,0.17211,-0.14403,3.3035,3.4157,0.005138,0.7147,0.99486,-570.84,0
-0.074235,0.5205,0.25495,2.2091,0.039844,-0.090783,-0.43055,-0.090783,-0.11054,-0.035421,4.8903,3.1894,0.49332,0.8949,0.21085,19805,0
0.14403,0.09427,0.57841,7.1356,0.45851,0.18043,1.914,0.18043,2.2309,0.90573,4.49,7.5227,0.90573,7.1356,0.09427,17874,0
0.01851,0.75869,-0.11986,0.8386,-0.090519,0.031603,0.042553,0.031603,0.086581,-0.071783,3.6464,2.3827,0.24153,0.82089,0.74266,-531,0
0.14088,0.15582,0.68153,6.2799,0,0.14088,1.0914,0.14088,0.90412,0.83023,4.4575,8.789,0.87003,5.2022,0.12908,19544,0
-0.10375,0.92067,-0.34072,0.62128,-0.44445,-0.10375,-0.11532,-0.10375,-0.078097,-0.54359,3.9691,1.646,0.081386,0.60712,0.89968,-3173,0
0.003469,0.34014,0.14117,2.057,0.000002,0.003469,0.025976,0.003469,0.13224,0.63898,3.8845,5.1932,0.67717,0.80768,0.13356,1081.9,0
0.044813,0.74188,-0.029547,0.95785,0,0.058801,0.083888,0.058801,0.13661,0.12271,3.8347,2.0954,0.29905,0.905,0.70095,-201.95,0
-0.072354,1.1218,-0.023798,0.96729,-0.32564,-0.072354,-0.099457,-0.072354,-0.017449,-0.2782,4.5048,0.97922,0.27032,0.62728,0.72749,-760.87,0
0.18652,0.35741,0.46252,2.5554,0,0.2309,0.77652,0.2309,0.74043,0.37636,3.8339,5.6082,0.69245,2.126,0.29736,3155,0
0.35808,0.3604,0.37931,2.8964,0,0.35808,1.7902,0.35808,1.1367,0.35808,3.8336,5.5815,0.79301,1.6075,0.20002,2586.1,0
0.11936,0.83075,0.19891,1.2716,0,0.11936,0.16298,0.11936,0.34878,0.13899,3.519,1.1671,0.16925,1.121,0.73237,657.16,0
0.06773,0.19032,0.25875,2.388,0.18519,0.087624,0.47002,0.087624,0.7043,0.75658,4.0754,8.7043,0.76047,2.3391,0.18643,3078,0
-0.054723,0.35025,0.51538,2.4714,0.14666,-0.06779,-0.19355,-0.06779,-0.16378,0.214,4.6587,3.8469,0.214,2.4714,0.35025,23487,0
0.064812,0.39736,0.20917,1.5354,0.11789,0.080831,0.20691,0.080831,0.37176,0.48952,4.8603,3.1342,0.49623,1.5095,0.39066,15164,0
0.035352,0.4413,0.044173,1.1001,0.085219,0.043515,0.098605,0.043515,0.17985,0.55843,4.7626,0.86253,0.55843,1.1001,0.4413,2557.1,0
-34.754,0,0,2.629143,0.37417,9.5293,0.799824,9.5293,0.87069,52.329,1.4216,7.144093,60.114,2.039821,0,0,0
0.23207,0.72814,0.1996,1.294,0,0.28921,0.42598,0.28921,0.45377,0.23207,3.4971,4.5535,0.27186,1.2065,0.67893,627.04,0
0.086734,0.35868,0.40254,2.4774,0.08568,0.1089,0.39967,0.1089,0.37636,0.63107,5.2446,2.9821,0.72754,1.8819,0.27246,2.4774,0
0.011123,0.18941,0.36917,2.9491,0.011123,0.016622,0.087759,0.016622,0.45056,0.62991,4.0624,11.875,0.62991,2.9491,0.18941,4262.4,0
0.12146,0.24069,0.22026,1.9151,0.38723,0.15451,0.64196,0.15451,0.95506,0.70775,5.0124,5.9823,0.70775,1.9151,0.24069,22666,0
0.087366,0.33897,0.29984,2.101,0.31729,0.10668,0.39173,0.10668,0.40448,0.6301,4.6742,3.6309,0.69673,1.688,0.27234,14161,0
0.030232,0.41512,0.094882,1.3172,0.084006,0.044036,0.14721,0.044036,0.19007,0.58488,4.8881,2.9194,0.70087,0.94915,0.29913,7332.3,0
0,0.21671,0.47279,36.788,0.019568,-0.025266,-1.9125,-0.025266,-0.11659,0.15248,3.9721,0,0.79272,2.2427,0.013211,4433.4,0
0.077604,0.30417,0.39144,2.5204,0.086884,0.10094,0.39207,0.10094,0.41874,0.6069,5.2039,2.6627,0.74207,2.1333,0.25746,2.5204,0
0.24737,0.44295,-0.013942,0.96166,0.47229,0.27464,0.7553,0.27464,0.62592,0.55158,4.2964,4.1563,0.6309,0.78945,0.36362,-275.88,0
0.082955,0.59173,0.27833,1.5281,0.1953,0.10618,0.20144,0.10618,0.2085,0.32485,4.6637,2.9435,0.38949,1.3611,0.52708,12830,0
0.010386,1.061,0.091047,1.218,0.010386,0.014043,0.033631,0.014043,0.039113,-0.065423,4.1606,2.1114,0.57802,0.47937,0.41757,1317.7,0
0.34279,0.33023,0.57519,4.2627,0,0.42775,2.4264,0.42775,1.4066,0.55747,4.7508,6.8982,0.76627,2.2756,0.17629,32405,0
0.026461,0.64655,0.21032,1.3997,0.078304,0.039185,0.07446,0.039185,0.12244,0.29252,5.3699,4.5669,0.41281,1.1393,0.52626,49293,0
0.068167,0.56845,0.071875,1.2502,-0.056938,0.104,0.36202,0.104,0.22294,0.075762,3.7582,4.7446,0.68799,0.6318,0.28727,411.91,0
0.007744,0.75664,-0.015723,0.96502,0.000978,0.008997,0.020016,0.008997,0.050371,0.24336,5.8343,2.1276,0.55049,0.57331,0.44951,-10735,0
0.08718,0.53511,-0.11223,0.79027,0.072717,0.08718,0.16292,0.08718,0.24338,0.30449,4.3228,2.3972,0.30449,0.79027,0.53511,-2359.9,0
0.39616,0.18959,0.65827,5.087,0.56657,0.47728,2.9633,0.47728,2.8521,0.79415,4.0037,5.5,0.82267,4.3217,0.16106,6638.3,0
0.06555,0.14123,0.35611,3.5215,0.18359,0.082127,0.58151,0.082127,0.91883,0.73982,4.49,7.684,0.73982,3.5215,0.14123,11005,0
0.36748,0.57641,-0.052432,0.90658,0,0.36748,0.65473,0.36748,0.73057,0.38074,4.0748,1.5219,0.43016,0.88276,0.56126,-622.94,0
0.28948,0.45976,0.53066,2.1542,0.3321,0.28948,0.62964,0.28948,0.63188,0.54024,4.3874,3.3602,0.54024,2.1542,0.45976,12949,0
0.11564,0.6544,0.58713,2.8161,0,0.11564,0.3577,0.11564,0.20549,0.13234,3.7272,4.7923,0.65427,1.3912,0.32329,3132.6,0
0.90856,0.54869,-0.00113,0.99752,0,0.90856,1.9925,0.90856,1.7438,-0.1884,3.6674,5.3315,0.544,0.82901,0.456,-5.254,0
-0.006985,0.39142,0.37406,1.9595,-0.006985,-0.005026,-0.012891,-0.005026,0.020581,0.5955,5.3423,1.9331,0.59706,1.9516,0.38986,82262,0
0.016863,0.68983,0.091017,1.1574,0,0.016863,0.029156,0.016863,0.54248,0.22462,3.8916,1.6301,0.35011,0.97039,0.57838,709.09,0
-0.001611,0.21665,0.52875,3.4405,-0.0975,-0.001218,-0.005623,-0.001218,0.47478,0.72832,5.3637,4.2041,0.72832,3.4405,0.21665,122170,0
-0.030391,1.5015,-0.32972,0.71237,-0.30101,-0.030391,-0.026512,-0.030391,-0.003901,-0.65128,5.2586,1.8852,-0.29614,0.54387,1.1463,-59804,0
0.046772,0.62188,0.29023,1.6794,0,0.046772,0.10949,0.046772,0.11479,0.31972,3.8549,2.3337,0.57215,1.1536,0.42717,2077.9,0
0.26069,0.26321,0.58996,3.2414,0,0.32221,1.2241,0.32221,1.2241,0.72105,3.8031,6.1571,0.73679,3.2414,0.26321,3748.9,0
0.040019,0.28111,0.35688,2.2695,0.20162,0.050985,0.18137,0.050985,0.42906,0.71094,4.9088,5.6687,0.71094,2.2695,0.28111,28927,0
0.11741,0.34961,0.58896,2.6846,0.36302,0.15024,0.42973,0.15024,0.48814,0.64257,4.4368,7.2742,0.64257,2.6846,0.34961,16102,0
0.19186,0.11538,0.7439,7.4474,0,0.24216,2.0988,0.24216,2.5939,0.84544,3.758,13.999,0.88462,7.4474,0.11538,4261,0
0.14061,0.26903,0.51999,4.0848,0,0.21142,1.2542,0.21142,0.96222,0.6345,4.0534,9.168,0.73285,2.5595,0.16857,5880.8,0
0.13646,0.60961,0.061256,1.1317,0,0.13646,0.29328,0.13646,0.22551,0.20975,4.185,2.5261,0.4649,0.86373,0.46528,937.98,0
-0.079066,0.565,0.31332,2.8801,-0.079066,-0.08325,-0.49955,-0.08325,0.055776,0.41426,4.01,13.062,0.81261,0.8495,0.16665,3206,0
-0.44949,0.81018,0.050202,1.062,-0.44949,-0.44949,-0.5548,-0.44949,-0.53115,-0.038277,4.1555,1.7737,-0.038277,1.062,0.81018,718.13,0
0.10535,0.56658,0.20319,1.3637,0.091326,0.14468,0.25899,0.14468,0.32695,0.43224,4.0026,4.8519,0.44019,1.3446,0.55862,2044,0
0.018787,0.70616,0.18278,1.4234,0.055006,0.027332,0.063318,0.027332,0.079002,0.2423,4.1069,2.937,0.5168,0.87011,0.43166,2338.1,0
0.31047,0.95728,0.20189,1.3184,-0.88776,0.35105,0.5537,0.35105,0.42731,-0.5772,3.4134,3.7388,0.36599,0.8732,0.634,523.04,0
0.24363,0.46368,0.44235,2.1594,-0.072391,0.31246,0.81893,0.31246,0.75405,0.17124,3.7386,4.8021,0.53632,1.7768,0.38154,2423.4,0
0.10206,0.6568,-0.042881,0.90793,0,0.10206,0.21915,0.10206,0.23603,0.1531,4.3657,3.1278,0.46492,0.6438,0.46573,-995.24,0
0.21847,0.24395,0.71866,3.946,0,0.21847,0.89558,0.21847,1.9863,0.75126,4.0184,3.7478,0.75605,3.946,0.24395,7498.3,0
0.099179,0.58044,0.2547,1.4388,0.099179,0.12489,0.21517,0.12489,0.26315,0.41956,4.1092,2.4495,0.41956,1.4388,0.58044,3275.2,0
0.099179,0.58044,0.2547,1.4388,0.099179,0.12489,0.21517,0.12489,0.26315,0.41956,4.1092,2.4495,0.41956,1.4388,0.58044,3275.2,0
0.009032,0.30479,0.18627,2.0094,0.00022,0.016318,0.088427,0.016318,0.19655,0.6119,4.956,7.0948,0.73215,1.2166,0.18454,16831,0
0.02717,0.16522,0.57394,4.4737,0.049229,0.030538,0.18483,0.030538,0.54503,0.78173,4.2224,8.4843,0.78173,4.4737,0.16522,9577.1,0
0.03597,0.59687,0.38009,1.6566,0,0.052875,0.091332,0.052875,0.11156,0.37937,3.323,3.2588,0.40313,1.6068,0.57893,799.58,0
0.17384,0.025474,0.60883,24.9,0.37046,0.21805,8.5595,0.21805,11.09,0.94733,4.3801,47.277,0.94733,24.9,0.025474,14610,0
0.14181,0.5204,-0.14286,0.72281,0.3333,0.17306,0.33578,0.17306,0.40933,0.47511,4.0466,1.57,0.48462,0.71584,0.51538,-1590.5,0
0.47447,0.24154,0.49699,3.0576,0.27781,0.47447,1.9644,0.47447,2.1518,0.75228,3.8115,4.9277,0.75846,3.0576,0.24154,3220.1,0
0.092174,0.79413,0.12557,1.1844,0.10701,0.11401,0.1674,0.11401,0.17028,0.20124,4.7312,2.6783,0.31426,1.0158,0.68111,6761.8,0
0.32889,0.29182,0.59189,3.0294,0,0.41422,1.4203,0.41422,1.5457,0.7025,3.9449,9.5954,0.70818,3.0277,0.29165,5213.6,0
0.022031,0.39093,0.25218,1.7418,-0.014219,0.022031,0.064803,0.022031,0.21626,0.16622,3.6504,3.7146,0.60907,1.5147,0.33997,1127.5,0
0.16352,0.71656,0.20611,1.3952,0,0.16352,0.3135,0.16352,0.26566,0.21016,4.4369,2.6045,0.43237,1.0156,0.5216,5636.3,0
0.28597,0.11465,0.58663,6.1165,0.50424,0.28597,2.4942,0.28597,2.6944,0.87494,4.1023,9.2928,0.87494,6.1165,0.11465,7424.3,0
0.28129,0.14994,0.77819,9.332,0,0.35184,3.7671,0.35184,2.5995,0.83638,3.7669,37.464,0.85006,5.8129,0.093398,4550.1,0
0.11857,0.51181,0.27315,1.6421,0.016386,0.11877,0.2792,0.11877,0.26401,0.45575,3.603,3.2729,0.57361,1.3649,0.42541,1095,0
0.74328,0.22316,0.7354,4.2954,0.74328,0.91572,4.1034,0.91572,4.1454,0.76164,4.0147,11.466,0.76164,4.2954,0.22316,7607.5,0
0.016664,0.4264,0.1436,1.9613,0,0.024296,0.16264,0.024296,0.18321,0.053013,4.0948,5.3821,0.80355,0.68711,0.14938,1786.4,0
0.055119,0.16926,0.36539,3.7804,0,0.055119,0.41942,0.055119,0.5769,0.78659,4.9093,3.161,0.83151,2.9352,0.13142,29650,0
0.032386,0.29487,0.4042,2.7257,0.090761,0.036365,0.15526,0.036365,0.32981,0.70513,4.6333,3.5001,0.76578,2.1651,0.23422,17373,0
0.2378,0.33083,0.13351,1.4685,-0.003996,0.29653,1.0406,0.29653,0.96005,0.65751,3.6358,5.0873,0.71504,1.2649,0.28496,577.14,0
0.22948,0.56934,0.11665,1.5293,0,0.22948,1.0413,0.22948,0.48869,0.20213,4.1085,4.3921,0.43594,0.59197,0.22038,1497.8,0
0.063017,0.37552,0.37439,3.0278,0,0.078658,0.42604,0.078658,0.27311,0.61382,5.0636,4.3106,0.80585,1.4887,0.18463,3.0278,0
0.11604,0.16749,0.62213,4.7145,0.46738,0.14503,0.86595,0.14503,1.175,0.82574,4.969,15.022,0.82574,4.7145,0.16749,57926,0
0.10526,0.58013,0.10396,1.1792,0.19685,0.12242,0.21102,0.12242,0.29308,0.41987,5.4366,4.202,0.41987,1.1792,0.58013,28409,0
0.25546,0.37777,0.2523,1.8063,0,0.3204,1.0239,0.3204,1.0071,0.60261,3.5823,6.3729,0.68708,1.4962,0.31292,964.28,0
0.44244,0.53623,0.33311,1.6515,0,0.44244,0.86528,0.44244,0.89074,0.46314,3.6785,5.7279,0.48867,1.5748,0.51133,1588.9,0
0.075483,0.43484,-0.083547,0.76049,-0.0272,0.076777,0.2201,0.076777,0.25982,0.5082,4.1419,2.4485,0.59421,0.61006,0.34882,-1158.5,0
0.13485,0.32525,0.4397,4.1907,0,0.13482,0.97837,0.13482,0.4162,0.67217,4.5427,7.9224,0.7399,1.7756,0.1378,15341,0
0.11081,0.5452,0.023202,1.0542,0,0.14089,0.32917,0.14089,0.4503,0.43478,4.3381,4.9008,0.53214,0.82762,0.42802,505.34,0
0.069509,0.76803,0.131,1.2325,0.069509,0.085518,0.1518,0.085518,0.12308,0.21569,4.549,0.98986,0.42036,0.90407,0.56335,4637.1,0
0.04626,0.94847,-0.42015,0.38578,0,0.062208,0.090942,0.062208,0.14775,0.048234,4.5796,1.9402,0.2875,0.27822,0.68404,-15958,0
0.065102,0.14794,0.35361,4.931,0,0.085359,0.94892,0.085359,0.95362,0.072909,3.7989,14.407,0.89281,2.9982,0.089954,2225.6,0
0.096341,1.5755,-0.53889,0.62467,-0.69346,0.096341,0.0671,0.096341,0.08324,-0.59712,3.6645,1.2785,-0.47633,0.56928,1.4358,-2489,0
0.15017,0.53902,0.28788,1.5341,0.29712,0.18782,0.34845,0.18782,0.37102,0.46098,4.4091,3.1128,0.46098,1.5341,0.53902,7384.1,0
0.12447,0.11926,0.569,5.771,0.12447,0.15842,1.3283,0.15842,2.1768,0.84735,3.9642,10.936,0.84735,5.771,0.11926,5239.5,0
0.26733,0.034219,0.86855,26.382,0,0.26733,7.8124,0.26733,8.4469,0.74248,4.3261,80.539,0.96578,26.382,0.034219,18402,0
0.024796,0.63019,-0.013257,0.97892,0.094644,0.019711,0.031348,0.019711,0.063828,0.35441,5.1964,5.7977,0.35583,0.97672,0.62877,-2083.8,0
-0.02059,0.11585,0.47944,5.3047,-0.17832,-0.020531,-0.18434,-0.020531,0.11413,0.88313,4.0974,10.305,0.88761,5.0998,0.11138,6000,0
0.18917,0.55971,0.36704,1.6558,0.12965,0.18917,0.33798,0.18917,0.40733,0.34857,4.2438,3.3615,0.34857,1.6558,0.55971,6434.7,0
0.13726,0.57365,0.1924,1.3891,0,0.18343,0.371,0.18343,0.42926,0.30742,4.641,3.0443,0.48822,1.1973,0.49442,8418.4,0
0.055377,0.44661,0.2891,2.1662,0.3197,0.069025,0.27845,0.069025,0.29019,0.54123,4.2528,7.3026,0.73995,1.2024,0.24789,5174.8,0
0.1226,0.34656,0.47659,2.3902,0.15861,0.11894,0.34694,0.11894,0.40013,0.63942,4.8132,3.8816,0.64314,2.3645,0.34283,30999,0
0.10292,0.29689,0.52111,2.7552,0.10292,0.14404,0.48516,0.14404,0.58529,0.68303,4.0573,3.9903,0.68303,2.7552,0.29689,5946.5,0
0.015386,0.30697,0.18258,1.7944,-0.001159,0.024034,0.10457,0.024034,0.12537,0.085915,5.0918,2.6636,0.72568,1.3435,0.22984,22555,0
0.18354,0.1466,0.81147,6.7391,0,0.2277,1.6104,0.2277,1.5853,0.81875,4.1592,5.8564,0.8534,6.4999,0.14139,11709,0
0.27486,0.66951,-0.072359,0.89192,0.27486,0.27486,0.41054,0.27486,0.4537,0.33049,4.1636,1.7174,0.33049,0.89192,0.66951,-1054.6,0
-0.14535,0.97477,-0.065517,0.93279,-0.39585,-0.14535,-0.14911,-0.14535,-0.12348,0.012465,3.9939,3.3322,0.012465,0.93279,0.97477,-645.96,0
-0.071948,0.86009,-0.070907,0.91756,-0.23357,-0.071948,-0.083651,-0.071948,-0.017978,0.1171,3.8563,1.7286,0.1171,0.91756,0.86009,-509.34,0
0.45732,0.35397,0.28859,1.8586,0,0.57915,1.7231,0.57915,1.6361,0.621,3.3005,5.8616,0.64603,1.7648,0.33611,576.53,0
