@relation cortex-nuclear

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute class {c-CS-s,c-CS-m,c-SC-s,c-SC-m,t-CS-s,t-CS-m,t-SC-s,t-SC-m}

@data
-2.609374,-1.597485,4.251887,-0.819287,1.571847,1.153059,-2.022926,0.451232,0.905618,-2.122908,-1.110684,0.520192,0.914126,0.789109,0.633014,0.472554,-0.328613,0.024198,0.259392,0.409915,0.310774,0.143562,-0.118676,0.531967,0.169426,-0.178496,0.184985,c-CS-m
-3.21211,-1.720938,3.283085,-1.107322,1.603079,0.832006,-2.227242,0.506557,0.688136,-2.349413,-1.31136,1.158641,1.180562,0.667569,0.269574,0.24994,-0.060441,0.393421,0.246289,0.644633,0.282143,0.576659,-0.501626,0.156908,-0.558607,0.013251,0.210815,c-CS-m
-3.80862,-0.542471,4.631487,-0.436855,0.496308,0.772906,-2.203254,-0.172661,0.558282,-1.875198,-1.713416,0.007892,0.444037,0.323757,-0.092136,-0.165396,0.540133,0.621698,0.049895,0.041361,0.391536,0.404892,-0.996179,0.684878,0.187489,-0.052188,-0.313328,c-CS-m
-3.910355,-0.901854,4.009376,-0.72201,1.15077,0.809769,-2.222828,0.154732,1.012305,-1.928753,-1.553302,0.971214,0.879542,0.523636,0.325934,0.364936,0.023643,0.542573,0.006747,0.393158,0.423718,0.06785,-0.375857,0.410409,-0.190557,-0.019864,-0.063273,c-CS-m
-5.010023,-1.095651,3.810154,-0.440817,1.493856,0.67581,-2.154499,0.418261,0.778228,-1.882985,-1.574855,0.85274,0.910287,0.655242,-0.01007,0.193456,-0.01906,0.376267,-0.090844,0.624729,0.436028,0.56216,-0.721827,0.280429,-0.28861,0.147258,0.000381,c-CS-m
5.286324,-2.796371,4.772533,5.060703,-2.519258,0.268575,-0.467095,1.310148,1.813595,0.184911,-1.028475,-0.527991,0.098141,-0.224715,0.985895,-0.191581,-0.43284,-0.02941,-0.472117,0.150185,0.279902,0.284017,-0.557147,-0.361612,0.201661,0.571092,-0.836763,c-CS-m
1.766446,-3.724049,3.990011,4.539166,-2.10929,0.235974,-0.601459,1.486968,1.785476,-0.013376,-1.116204,-0.159836,0.010259,-0.434462,0.703242,-0.271302,-0.502242,-0.094529,-0.758383,-0.167659,-0.341775,-0.042711,-0.66728,-0.325499,-0.145974,0.19837,-0.501928,c-CS-m
1.529395,-3.814663,3.406757,4.150075,-1.611106,-0.04611,-0.67279,1.490592,1.284825,-0.159123,-0.908904,0.332401,0.067088,-0.343391,0.41726,-0.446131,-0.799604,0.444568,-0.630226,-0.093369,-0.325651,-0.194543,-0.625762,-0.40367,-0.195446,0.014835,-0.557682,c-CS-m
3.403593,-1.855501,5.304646,3.988833,-2.404993,0.144504,-0.826194,1.166621,1.62873,-0.184188,-0.702836,-0.40732,0.622382,-0.47507,0.721914,-0.172087,-0.187929,-0.727569,-0.36461,0.251018,-0.456685,0.410942,-0.046377,-0.419683,0.015774,0.400721,-0.583048,c-CS-m
-2.309104,-2.84407,3.968233,3.395212,-1.956391,0.213861,-1.118498,1.249551,2.057485,-0.29772,-0.876248,-0.34418,0.200052,-0.510842,0.582878,-0.329303,-0.67692,0.136232,-0.191773,-0.069881,-0.350897,-0.228329,-0.697334,-0.340813,-0.335428,0.522417,-0.725216,c-CS-m
-0.567378,-2.353528,4.175171,3.533295,-1.140555,-0.03974,-0.68176,1.429222,1.49956,-0.05332,-0.712206,0.34725,0.291435,-0.224308,0.3603,-0.187034,-0.810938,0.09184,-0.472083,-0.145616,-0.335313,0.055361,-0.488009,-0.272426,-0.529555,0.300837,-0.499744,c-CS-m
3.275739,-0.321057,7.049482,3.400587,-2.319304,0.113985,-1.057973,0.968851,1.258407,0.046008,-0.69385,-0.341357,1.204565,-0.101292,0.706959,0.047308,-0.312497,-0.374428,0.02443,-0.024658,-0.104143,0.164473,-0.001335,-0.520454,0.144528,-0.134353,-0.380247,c-CS-m
1.519692,-0.705895,5.826712,3.076828,-2.515567,0.035651,-1.315877,0.967742,1.266082,-0.269041,-0.782049,0.056366,0.728146,-0.191192,0.551637,-0.092946,-0.389417,0.302238,-0.334832,0.149523,-0.873886,-0.238285,-0.737971,-0.69372,0.172236,0.580039,-0.840041,c-CS-m
-2.061116,-1.531213,5.186223,3.504222,-0.941266,0.035849,-1.385484,1.351874,1.231074,-0.687265,-0.62914,0.272882,0.436389,-0.392294,0.054622,-0.557705,-0.386109,-0.044458,-0.336778,-0.071318,-0.572435,-0.298527,-0.559345,-0.757065,-0.423771,0.311059,-0.768672,c-CS-m
0.25428,1.328951,6.792886,3.372637,-2.179714,0.097998,-1.154784,0.387178,0.504815,-0.128501,-0.250818,-0.372418,1.812427,-0.507086,0.902297,0.034921,0.99764,-1.116414,-0.66185,-0.13398,-0.112062,0.696965,0.384842,-1.091036,-0.731141,-0.367854,-0.462369,c-CS-m
5.218379,2.247581,9.41551,2.760535,-1.96121,0.089804,-1.294996,0.532554,0.946056,-1.262364,0.722129,1.038532,1.317502,-0.617804,0.710318,-0.511877,0.31736,0.291139,0.359578,-0.463603,-0.445764,-0.360123,-0.077198,0.099839,-0.221719,-0.546961,-0.212826,c-CS-m
-1.587256,0.778733,6.384916,2.474977,-1.830171,-0.32781,-1.170585,0.927504,0.920107,-0.586398,0.225813,0.676597,0.762314,-0.474994,0.435758,-0.258638,-0.024964,0.787178,0.085956,-0.437987,-0.089292,-0.609816,-0.085032,-0.324249,-0.446045,0.230999,-0.930413,c-CS-m
-3.191518,1.944258,8.974483,3.881403,-2.494529,0.256676,-1.462265,0.578901,0.33383,-0.362705,0.090125,-0.492127,1.578538,-0.923064,-0.562875,-0.266811,0.792586,-0.882327,0.143097,-0.639573,-1.256695,0.712963,-0.058323,-0.009719,-0.846452,-0.484946,-0.212662,c-CS-m
-2.329657,2.105457,8.741935,3.750886,-2.248714,0.447723,-1.221516,0.463929,0.987439,-0.56973,0.104447,0.377634,1.572689,-0.995494,-0.005203,-0.469152,0.276321,0.496421,-0.063825,-1.024442,-0.803358,-0.407681,-0.27469,-0.685715,-0.064758,-0.01213,-0.676912,c-CS-m
-3.681294,1.593657,8.085838,3.439795,-1.807369,0.119219,-1.204758,0.898314,0.834693,-0.533518,0.181959,0.531964,1.419314,-0.678952,-0.136048,-0.419301,0.436376,0.569844,-0.167009,-0.623066,-0.166253,-0.551814,0.347629,-0.767979,-0.623891,-0.391823,-0.660133,c-CS-m
8.6619,-4.032358,-2.59993,3.643747,-3.709489,-0.504047,1.021242,1.174771,-2.217028,0.271577,0.603978,1.389753,0.834732,-0.438054,0.317878,-0.752006,0.768737,0.259598,-0.198837,1.032688,0.260197,0.634658,0.305992,0.029862,-0.835908,0.659106,0.335833,c-CS-m
10.035411,-3.749237,-1.94139,3.705078,-4.149833,-0.440631,1.044613,0.864988,-2.769408,0.094485,0.411702,1.224796,0.484814,-0.777226,-0.046654,-0.5573,0.746683,0.103311,0.217149,0.845008,0.472966,0.515594,0.478958,-0.073377,-0.598246,0.243268,0.662917,c-CS-m
10.671974,-3.711412,-0.726687,4.148037,-4.376579,0.000582,0.828554,0.932306,-2.576444,0.19592,0.237567,0.800465,0.752827,-0.958305,-0.305705,-0.431342,0.604979,0.186731,0.193138,0.83147,0.773656,0.77064,0.682557,-0.387421,-0.663849,-0.060687,0.513785,c-CS-m
5.720861,-2.886243,-1.699521,2.621329,-2.938869,-1.008685,-0.073757,1.150086,-1.708923,1.118282,-0.002532,1.154444,0.836433,0.327733,0.674008,-0.764993,0.2679,0.034566,-0.61507,0.669067,-0.06183,0.519222,-0.162547,-0.040705,-0.575781,0.997295,0.39999,c-CS-m
7.530821,-2.685498,-1.019754,2.599575,-3.832557,-0.781349,-0.116585,0.796253,-2.103277,0.870823,-0.255091,0.941531,0.641644,0.191685,0.671057,-0.989401,0.213312,0.113876,-0.073171,0.703717,0.145958,0.128944,0.167697,0.086253,-0.323626,0.55265,0.556582,c-CS-m
8.76974,-2.346553,0.033174,3.001678,-4.12926,-0.365459,-0.265627,0.693792,-2.210283,1.055573,-0.391372,0.612769,0.65932,0.108899,0.503309,-0.91045,0.051297,0.002375,-0.002588,0.775223,0.587685,0.272789,0.064296,0.029263,-0.458038,0.120798,0.611518,c-CS-m
3.688921,-2.237044,-0.818009,1.554915,-3.39099,-1.08451,-0.929843,0.86588,-1.268058,0.88658,-0.269102,0.601051,0.704542,0.659307,0.825919,-0.713689,0.082108,-0.158607,-0.356776,0.491275,-0.406119,0.051091,-0.508938,-0.004363,-0.511852,0.88291,0.235894,c-CS-m
5.460237,-1.729799,0.556572,1.896543,-3.700125,-0.656386,-0.992128,0.972126,-1.507958,1.183999,-0.517229,0.326547,0.303954,0.539586,0.659076,-0.993285,-0.069029,0.217703,0.061131,0.312889,-0.116981,-0.328929,-0.525051,0.343494,-0.017902,0.344176,0.309222,c-CS-m
7.234365,-1.313336,1.176186,2.324452,-3.88502,-0.481742,-1.01662,0.701967,-1.811903,1.265518,-0.720599,0.691101,0.94406,0.686045,0.910425,-0.65655,0.177341,-0.077708,-0.374836,0.578592,0.493655,0.003379,-0.031059,-0.310171,-0.417509,-0.108335,0.559494,c-CS-m
5.592701,-0.662996,0.509839,0.305131,-3.552774,-1.768555,-1.147012,0.714856,-1.40397,0.863722,-0.413721,0.391566,0.828285,0.579179,0.842767,-0.667463,0.012682,0.425662,-0.282983,0.101522,-0.802688,0.030756,-0.758146,0.005112,-0.304092,0.791702,-0.034117,c-CS-m
6.369874,-0.510489,0.498836,0.441685,-4.124534,-1.370479,-1.388675,0.484683,-1.575923,1.203958,-0.831861,0.219352,0.836899,0.88899,0.830471,-0.755734,0.265171,0.373451,-0.327228,0.23254,-0.665081,-0.178807,-0.580234,-0.092377,-0.049035,0.458729,0.282955,c-CS-m
7.329173,-0.278823,1.795457,1.405796,-4.145006,-0.647626,-1.360595,0.398074,-1.933945,1.602008,-1.010546,0.100618,1.130121,0.766801,0.988717,-0.502314,-0.049767,0.263955,-0.081862,0.082044,0.044704,-0.215865,-0.488012,-0.375895,-0.066586,0.067799,0.407007,c-CS-m
4.229744,-0.002569,1.326844,0.138699,-2.62397,-2.114873,-1.008003,1.109943,-1.726304,0.81462,-0.015958,0.665094,0.842516,0.106825,0.8147,-0.589986,-0.027462,0.035168,-0.42321,0.001551,-0.310133,0.171483,-0.316324,0.002191,-0.593669,0.196266,0.00345,c-CS-m
5.666024,0.803085,2.604909,0.235091,-2.586707,-2.041623,-1.294771,0.97421,-1.830655,0.659813,-0.089508,0.39486,0.832547,-0.041271,0.355833,-0.928094,0.843067,-0.031337,-0.478442,-0.533639,-0.355309,0.262122,-0.165206,-0.105439,-0.685289,-0.329141,0.211721,c-CS-m
6.40708,0.873751,3.482846,0.763935,-3.563485,-1.321353,-1.842252,0.795117,-1.65468,1.257626,-0.530924,0.362264,1.164717,0.480582,0.36603,-0.786361,0.506057,-0.191021,-0.546038,-0.324538,-0.334266,-0.222753,-0.756218,0.364656,-0.205936,-0.193712,0.389075,c-CS-m
6.851344,-3.594278,-4.517324,3.276537,-4.00346,-0.814036,-0.673208,0.464871,-1.936323,0.885138,-0.674038,1.249339,0.385459,0.379664,0.640928,-0.141324,0.230561,0.004247,-0.852135,-0.102717,-0.002301,0.23304,0.435685,0.181697,-0.032438,0.885838,0.024663,c-CS-m
7.178668,-3.605295,-4.857152,3.07934,-4.426091,-0.670082,-0.89669,0.236753,-2.206726,0.917388,-0.845602,0.905524,0.234323,0.30224,0.529434,-0.411697,0.36349,-0.017527,-0.388785,-0.422493,-0.028587,0.318065,0.421503,0.299749,-0.004435,0.663611,0.355926,c-CS-m
8.348582,-3.446767,-3.15625,3.74791,-4.346956,-0.073188,-0.995148,0.461448,-2.284704,0.798607,-0.818341,1.080641,0.549308,0.232771,0.405118,-0.256195,0.037735,-0.259385,-0.528257,-0.184648,0.525809,0.393549,0.658533,0.038253,-0.474005,0.840954,0.235768,c-CS-m
5.903466,-2.057001,-3.505634,2.300676,-3.15667,-1.035949,-1.029426,0.253441,-1.570809,0.713215,-0.571456,1.171337,0.056447,0.691565,1.492945,-0.525256,0.119865,0.436784,-0.761832,-0.278034,-0.485078,0.149281,-0.078847,0.092004,0.178113,0.883829,-0.169482,c-CS-m
6.499033,-2.07257,-3.082021,2.273894,-4.09419,-0.966621,-1.095217,0.445528,-2.125581,1.332164,-0.892886,0.473354,0.309717,0.729771,1.108041,-0.453242,-0.065761,0.437602,-0.349473,-0.384709,-0.253264,0.192096,-0.227698,-0.429317,0.331369,0.706619,-0.120698,c-CS-m
7.344661,-2.042119,-2.980988,2.538573,-4.51018,-0.385956,-1.239516,0.051356,-2.305293,1.408954,-1.068945,0.4069,0.458624,0.833166,1.292262,-0.546314,0.187303,0.312709,-0.56412,-0.163363,0.440886,0.04251,0.162033,-0.832765,-0.068033,0.501708,0.118572,c-CS-m
3.152382,-1.483016,-1.780232,1.436276,-3.051149,-1.100948,-1.894862,0.604091,-0.797976,0.170627,-0.811083,0.76493,-0.308439,0.51327,1.23829,-0.608265,0.477019,-0.236488,-0.875775,-0.563706,-0.986746,-0.368602,-0.602266,0.310308,0.082632,0.32629,0.054966,c-CS-m
5.264843,-0.69784,-1.593378,1.376276,-3.81476,-1.075104,-1.545946,0.378457,-1.972726,0.58762,-0.928806,0.435886,-0.635313,0.724034,1.289588,-0.973132,0.301745,0.51313,-0.352758,-0.150206,-0.210385,-0.353097,-0.542589,-0.350267,0.454787,0.314618,0.015513,c-CS-m
6.250711,-0.627022,-1.428488,1.23655,-5.058969,-0.525432,-1.964621,0.231614,-1.912119,1.187603,-1.208141,-0.03032,-0.487141,0.681481,1.191416,-0.904422,0.085336,0.694033,-0.474889,-0.373066,0.617686,-0.737446,-0.355056,-0.799243,0.113433,0.365364,-0.027956,c-CS-m
2.418082,-0.219572,0.200147,-0.264862,-1.507273,-2.175793,-1.44797,1.16386,-2.419326,0.48332,-0.093363,0.307068,-0.292905,1.046566,1.145602,0.400366,-0.239187,-0.579838,-0.407348,-0.273228,-0.75369,-0.417102,0.143543,0.769156,-1.181522,0.099551,0.113505,c-CS-m
2.809131,0.104291,-0.182383,-0.904784,-2.649049,-2.209258,-1.579764,0.872906,-2.421952,0.279585,-0.216224,0.473081,-0.687447,0.846811,0.920015,-0.037819,-0.439605,0.038853,-0.244322,-0.30071,-0.551271,-0.318036,-0.161656,0.367946,-0.88712,0.226183,-0.385778,c-CS-m
2.49206,-0.112439,-0.443197,-0.344718,-3.085939,-1.825419,-2.090566,0.405747,-2.876706,0.512734,-0.621319,0.081482,-0.581044,0.56235,0.752226,-0.530509,-0.010422,0.286488,-0.4325,0.041227,-0.679203,-0.763415,-0.293567,0.186107,-0.595982,-0.400705,-0.058689,c-CS-m
2.137378,1.172845,-1.160199,-2.077189,-2.707923,-3.505306,-1.799973,0.29928,-2.419264,0.226067,-0.548747,1.030349,-0.470449,0.375987,0.79197,0.179845,0.211233,-0.070752,-1.118473,-0.23324,-0.577854,-0.652232,-0.389765,0.464458,-0.490586,0.083663,0.111117,c-CS-m
2.734928,1.432465,0.31561,-1.43954,-2.4599,-3.3488,-1.871088,0.988915,-2.18537,0.34346,-0.139426,0.808521,-0.512137,-0.035973,0.867412,-0.222259,0.068846,-0.333602,-1.062547,0.009252,-0.72912,-0.310711,-0.298989,0.630845,-0.60498,0.216646,-0.267681,c-CS-m
2.668515,1.202111,-0.017998,-1.593352,-2.55183,-3.084295,-1.757297,1.000788,-2.600036,0.233903,-0.16179,0.641193,-0.445303,-0.324275,0.740825,-0.711398,0.696278,0.06714,-0.92302,0.043683,-0.088033,-0.723863,-0.65448,0.326598,-0.051308,-0.281763,-0.166399,c-CS-m
0.312324,-1.897579,-4.775374,2.311665,-2.538677,-1.296804,-2.159878,0.505887,-0.114818,1.118566,0.771186,0.808768,-0.121431,0.420319,0.008778,0.124041,-0.970435,-0.994688,-0.342543,0.885281,0.405973,0.667531,-0.172497,0.611088,0.013865,0.181225,0.533513,c-CS-m
1.864297,-1.663145,-4.184175,2.610809,-2.734309,-1.062183,-2.036772,0.131536,-0.415075,0.816204,0.835737,0.965099,-0.427156,0.152823,-0.048822,0.063387,-0.612513,-0.858245,-0.457254,0.522086,0.546189,0.371301,-0.223675,0.811908,0.062102,-0.348229,0.688259,c-CS-m
2.33554,-1.801972,-3.747855,2.759531,-2.664118,-0.901688,-2.230468,0.453732,-0.395567,0.992515,0.60704,0.563998,-0.140466,0.671769,-0.031063,-0.349192,-0.843325,-1.198436,-0.43461,1.219752,0.39803,0.482545,-0.078219,0.25296,-0.090478,-0.334212,0.706188,c-CS-m
0.667932,-0.260571,-2.3121,2.124244,-1.651571,-1.300077,-1.849367,0.282086,-0.232263,0.792537,1.149028,0.999227,-0.283105,0.561232,0.398006,0.053303,-0.555636,-0.836592,-0.789387,0.882693,0.273337,0.424528,-0.609862,0.212454,0.069748,0.232825,0.367628,c-CS-m
0.840456,-0.139646,-3.307509,1.686599,-2.811358,-1.480285,-2.109174,-0.255453,-0.39826,1.015455,0.625051,0.752536,-0.25268,0.568367,0.543952,-0.052941,-0.66832,-0.286682,-0.520824,0.828436,0.174792,0.370813,-0.682576,0.358134,0.287066,-0.084108,0.639772,c-CS-m
1.590015,-0.35257,-3.077838,1.936958,-2.946317,-1.203595,-2.343042,-0.434182,-0.200392,0.78797,0.622629,0.61202,-0.246303,0.411845,0.618281,-0.364309,-0.793913,-0.279093,-0.09511,0.744157,0.166562,0.088167,-0.625106,0.407756,0.261098,-0.125945,0.689187,c-CS-m
-0.607528,0.894696,-1.131223,1.449027,-1.827099,-1.540784,-2.140601,0.197174,-0.180826,0.333231,0.988725,0.759176,-0.507477,0.650418,0.346012,-0.652799,-0.117616,-0.389987,-0.527411,0.668226,0.072849,0.357771,-0.6346,0.187378,-0.146905,-0.278519,0.296426,c-CS-m
0.062603,1.171296,-1.717945,1.008281,-2.436029,-1.797205,-2.26664,-0.087379,-0.292836,0.550137,0.586012,0.790859,-0.053648,0.988985,0.532677,-0.526142,-0.455565,0.336477,-0.285287,0.898579,0.301852,0.561108,-0.646406,0.043792,-0.171637,-0.272566,0.81065,c-CS-m
-0.427373,0.95919,-1.920856,1.206193,-2.624522,-1.547861,-2.549271,-0.375161,-0.450775,0.703554,0.552882,0.730384,-0.155347,0.618492,0.198752,-0.466736,-0.460791,0.161604,-0.490304,0.821806,0.081822,0.237095,-0.693925,-0.128971,0.115282,-0.31289,0.6399,c-CS-m
-0.824717,2.170194,0.310067,1.177833,-2.281657,-1.701701,-2.390825,-0.273968,-0.018949,0.019691,0.956828,0.967683,-0.284446,0.966645,0.311311,-0.637462,-0.006244,0.274815,-0.296735,0.867337,-0.353368,0.284073,-0.682317,0.108031,-0.035896,0.096834,-0.177399,c-CS-m
-1.190436,2.008375,-0.445969,1.042563,-2.666147,-1.850391,-2.520868,-0.64116,-0.230613,-0.27557,0.804846,0.395994,-0.597379,0.499882,0.391711,-0.642124,-0.395963,0.16284,-0.252824,0.67584,0.090736,0.189427,-0.587935,0.1591,-0.205886,-0.131833,-0.216452,c-CS-m
-0.339467,2.491261,-0.690049,1.282393,-2.991949,-1.600587,-2.467068,-1.185829,-0.527963,0.121309,0.694269,0.652889,-0.112998,0.535215,0.617481,-0.506307,0.095039,0.437737,-0.498865,0.831899,0.239448,0.141688,-0.596632,-0.319462,0.14822,-0.289216,-0.019921,c-CS-m
-0.030088,3.547547,1.88716,1.385051,-1.94365,-1.961637,-2.739432,-0.839738,-0.645344,-0.76615,1.524064,0.988396,-0.610448,0.232539,-0.085224,-1.072722,0.456363,-0.067499,-0.92575,1.376979,-0.472483,0.150413,-0.440118,-0.49942,-0.323558,0.095406,-1.045377,c-CS-m
1.114455,4.009598,1.275123,0.837115,-3.348705,-1.890764,-2.68026,-1.582535,-0.500861,-1.054897,0.885812,0.777155,-0.560609,0.333258,0.533222,-0.844744,-0.143798,0.425333,-0.501481,1.054863,-0.458899,0.037828,-0.359387,-0.069216,0.068991,-0.621716,0.178384,c-CS-m
0.707977,3.829043,1.064049,0.469279,-4.072885,-1.745971,-2.788618,-1.869637,-1.028588,-0.941904,0.955183,0.672428,-1.042471,-0.153524,0.194743,-0.741426,0.091156,0.569261,-0.600887,0.599372,-0.447529,-0.426046,-1.379751,-0.266953,0.797638,0.292701,-0.276402,c-CS-m
5.644873,-3.902725,-3.058892,0.932783,-0.854119,0.562431,-0.769446,-1.778187,-1.189711,-0.274781,-0.848193,0.00961,-1.695792,-1.226786,-0.379168,-0.273973,0.441705,0.068698,0.72524,-0.137175,0.888742,-0.154173,0.598809,0.653142,-0.563496,-0.361125,0.15541,c-CS-m
5.154298,-3.596686,-3.167139,0.696617,-1.374776,0.421752,-1.101067,-1.836717,-1.244259,0.206507,-0.717789,-0.463745,-2.057826,-1.32124,-0.373693,-0.476825,0.246185,0.264851,0.773561,-0.229434,1.195512,-0.368311,0.233533,0.644971,-0.38734,-0.342153,-0.333666,c-CS-m
6.302621,-3.750814,-2.935722,0.719766,-1.220262,0.319505,-0.571382,-1.5864,-1.386649,0.108425,-0.668564,0.072528,-1.517757,-0.980702,-0.186043,-0.003141,-0.055435,0.08418,0.320917,-0.419577,0.976819,-0.508053,0.344231,0.272843,-0.538634,-0.763898,-0.038807,c-CS-m
1.817633,-3.436275,-1.793603,0.547431,0.762954,0.705334,-1.216954,-1.798783,-1.299497,0.150114,-0.795736,1.020374,-1.063108,-0.759944,0.116453,-0.190011,-0.218988,-0.437523,0.151822,-0.058028,0.368516,-0.392724,0.193554,0.314524,-0.141151,-0.115126,0.214085,c-CS-m
2.246366,-3.174759,-2.109222,0.002815,-0.086625,0.888785,-1.211762,-2.29553,-1.292523,0.362536,-0.898833,0.441904,-1.348406,-0.789161,0.418059,-0.204376,-0.515739,-0.098055,0.531505,-0.166384,0.729832,-0.606628,0.248866,0.29438,0.133273,-0.178794,0.348196,c-CS-m
2.226158,-3.028208,-2.374837,-0.038085,-0.363966,0.502291,-1.102915,-2.235259,-1.204869,0.637692,-1.040462,0.380648,-0.789562,-0.600597,0.115162,-0.01516,-0.640478,-0.148462,0.104471,-0.027191,0.493116,-0.523505,0.326798,0.11198,0.066155,-0.560913,0.307514,c-CS-m
-1.28471,-2.090309,-0.509179,0.60526,1.581836,0.645728,-1.085802,-1.535721,-1.17592,0.346917,-0.720386,1.090849,-0.980959,-0.658428,0.383489,-0.044821,-0.128696,-0.21969,-0.191911,-0.206837,0.104777,-0.942899,-0.165081,0.328042,-0.061261,-0.327891,0.04915,c-CS-m
-2.056985,-2.077767,-1.172407,0.181153,0.285696,0.958612,-1.358163,-1.954857,-1.272759,0.963283,-1.04411,0.344866,-0.628264,-0.567642,0.623123,-0.255502,-0.512464,0.381037,0.158499,-0.215088,0.477514,-1.017244,-0.251136,0.138966,0.247989,-0.153972,0.035465,c-CS-m
-0.696351,-1.88221,-1.648842,-0.063704,-0.046313,0.756491,-1.311584,-2.470632,-1.553463,0.814667,-1.167458,0.308468,-1.086482,-0.70043,0.476143,-0.325902,-0.202229,0.268624,-0.023034,-0.443901,0.170473,-1.156263,0.113503,0.168944,0.430179,-0.493387,0.328353,c-CS-m
-4.591743,-0.61496,0.559267,0.172958,1.613189,0.185528,-1.080863,-1.505555,-1.788302,0.501512,-0.314372,1.128175,-0.440214,-0.238072,0.477298,-0.780067,0.010105,0.112135,-0.086138,-0.013341,0.734156,-0.756683,-0.113564,0.857138,0.08551,-0.434451,0.314359,c-CS-m
