@relation 'biodegradation-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R11,22-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R3,14,21'

@attribute x1 numeric
@attribute x3 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x16 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x24 numeric
@attribute class {RB,NRB}

@data
3.942,31.6,0,0,0,3.44,2.777,9.207,0.969,1.141,1.22,1.95,0,5.294,0,0,3.542,0,RB
3.966,32,0,0,0,4.075,3.146,9.522,0.965,1.138,1.243,1.97,0,6.909,0,0,6.866,0,RB
3.732,26.3,0,1,0,2.532,1.585,8.16,0.969,1.157,1.152,1.802,0,2.488,1,2,2.858,1,RB
4,23.1,0,0,0,2.167,0.811,8.318,0.972,1.166,1.182,1.732,0,1,0,0,2.991,1,RB
2,16.7,1,0,0,1.549,0,4.174,1.016,1.173,0.93,1,0,1,0,1,2.279,0,RB
3.732,27.8,1,0,0,2.555,1.585,8.16,0.979,1.15,1.134,1.802,0,2.488,0,1,2.874,0,RB
4,30,1,0,0,2.273,1,8.482,0.998,1.146,1.09,2.17,0,1,0,0,3.302,0,RB
3.414,20,2,0,0,2.243,1,7.408,1.031,1.166,0.98,1.618,0,1.707,0,2,2.817,0,RB
4.17,23.1,2,0,0,2.449,0.971,8.597,1.015,1.16,1.044,1.848,0,1.542,0,2,3.047,0,RB
4.303,25,2,0,0,2.608,1.459,8.815,1.005,1.156,1.056,1.932,0,1.745,0,2,3.083,0,RB
3.414,37.5,1,0,0,2.333,1,7.408,1.012,1.13,1.215,1.618,0,1.707,0,1,3.188,0,RB
4.214,25,2,0,0,2.608,1.459,8.755,1.005,1.156,1.104,1.902,0,2.052,0,1,3.087,0,RB
3.848,27.3,2,0,0,2.858,2,8.584,0.993,1.151,1.117,1.879,0,3.284,0,1,2.997,0,RB
3.414,30,1,0,0,2.263,1,7.408,0.998,1.146,1.142,1.618,9.174,1.707,0,0,3.038,0,RB
4.393,37,1,0,2.487,3.233,2.187,9.562,0.978,1.131,1.259,2.048,10.02,3.684,0,0,3.39,0,RB
4.562,31.3,1,0,0.259,2.634,0.918,9.184,0.984,1.143,1.206,2,10.144,1.521,0,0,3.375,0,RB
4,30,1,0,0.167,2.279,0.811,8.318,0.998,1.146,1.195,1.732,9.444,1,0,0,3.261,0,RB
4.694,30,2,0,-0.671,2.917,1.406,9.425,0.998,1.146,1.14,2.101,10.162,1.631,0,1,3.417,0,RB
4.236,33.3,2,0,-0.653,3.974,3.574,10.082,0.972,1.138,1.205,1.996,10.389,10.108,0,1,3.329,0,RB
4.17,27.3,2,0,-0.245,2.512,0.971,8.597,1.028,1.151,1.112,1.848,9.59,1.542,0,0,3.337,0,RB
4.214,28.6,2,0,-0.211,2.662,1.459,8.755,1.014,1.149,1.138,1.902,9.822,2.052,0,0,3.344,0,RB
4.214,33.3,2,0,-0.329,2.713,1.459,8.755,1.025,1.139,1.186,1.902,9.75,2.052,0,0,3.38,0,RB
4.233,27.8,3,0,-0.262,2.938,1.906,9.011,1.022,1.15,1.119,1.95,10.041,2.999,0,0,3.349,0,RB
4.334,33.3,2,0,-0.241,2.838,1.557,8.944,1.013,1.139,1.164,1.97,10.118,2.195,0,0,3.39,0,RB
4.372,33.3,2,0,-0.177,3.139,2.246,9.253,0.993,1.139,1.186,2.024,10.624,3.412,0,0,3.394,0,RB
5.392,30.8,3,0,-0.209,3.517,1.907,10.633,0.989,1.144,1.169,2.314,11.278,3.598,0,1,3.503,0,RB
4.446,30,4,0,-0.796,3.192,1.922,9.523,1.036,1.146,1.116,2.061,20.804,3.132,0,0,3.431,0,RB
4.411,31.8,4,0,-0.328,3.699,2.948,9.956,0.995,1.142,1.164,2.08,22.47,6.131,0,0,3.393,0,RB
4.527,32.5,4,0,-0.117,4.14,3.427,10.56,0.981,1.14,1.184,2.13,23.699,9.594,0,0,3.393,0,RB
4.347,33.3,2,0,-0.076,3.809,3.309,9.933,0.975,1.138,1.202,2.019,10.914,8.395,0,0,3.358,0,RB
4.562,33.3,2,0,-0.759,2.723,0.918,9.184,1.025,1.139,1.179,2,9.6,1.521,0,1,3.511,0,RB
4.629,33.3,2,0,0.086,2.847,1.379,9.312,1.013,1.139,1.189,2.053,10.19,1.776,0,0,3.523,0,RB
4.655,35,3,0,0.094,3.204,2.182,9.765,1.02,1.135,1.157,2.256,10.698,2.989,0,0,3.542,0,RB
4.644,31.6,3,0,-0.104,3.082,1.837,9.467,1.021,1.142,1.149,2.084,10.469,2.732,0,1,3.525,0,RB
4.646,34.3,5,0,-0.189,3.707,2.587,10.202,1.017,1.137,1.184,2.107,21.879,6.086,0,0,3.535,0,RB
4.468,33.3,4,0,-1.073,3.37,2.252,9.651,1.025,1.139,1.158,2.085,21.27,3.737,0,0,3.534,0,RB
4.562,25,2,0,-1.21,3.184,0.918,9.184,1.134,1.142,1.19,2,9.435,1.521,0,1,3.976,0,RB
5.206,30.8,2,1,-0.947,3.713,2.9,10.416,0.979,1.145,1.187,2.218,10.57,6.77,2,0,3.47,1,RB
4.691,25,4,1,-2.498,3.125,1.436,9.666,1.066,1.161,1.078,2.117,19.617,2.428,2,4,3.483,1,RB
4.17,28.6,3,0,-1.426,2.612,0.971,8.597,1.124,1.149,1.095,1.848,17.905,1.542,0,1,3.427,0,RB
4.214,33.3,2,1,-1.072,2.774,1.459,8.755,1.071,1.148,1.187,1.902,9.377,2.052,1,1,3.423,1,RB
5.206,30.6,3,3,-0.919,3.965,3.189,10.627,0.985,1.147,1.18,2.22,22.35,8.266,4,1,3.473,2,RB
4.17,26.7,1,0,0,2.4,0.971,8.597,0.983,1.152,1.12,1.848,0,1.542,0,1,3,0,RB
5.175,29.6,3,0,-0.239,3.227,1.859,10.165,1.002,1.146,1.146,2.175,10.355,3.341,0,0,3.389,0,RB
4.642,42.1,1,0,0,3.093,1.187,9.631,0.987,1.12,1.256,2.2,0,1.487,0,1,3.639,0,RB
4.607,42.1,1,0,0,3.093,1.187,9.631,0.987,1.12,1.242,2.194,0,1.544,0,1,3.635,0,RB
4.807,42.1,1,0,0,3.1,0.881,9.833,0.987,1.12,1.272,2.246,0,1.06,0,1,3.71,0,RB
4.828,40,2,0,0,3.203,1.261,9.749,1.004,1.125,1.219,2.247,0,1.436,0,0,3.677,0,RB
4.543,42.9,2,0,-0.242,3.309,1.705,9.722,1.003,1.119,1.241,2.166,10.395,2.905,0,0,3.573,0,RB
4.521,45,1,0,0,3.203,1.661,9.466,0.987,1.114,1.268,2.154,0,2.593,0,1,3.587,0,RB
4.607,46.7,2,0,0,3.151,1.187,9.631,1.02,1.111,1.253,2.194,10.036,1.544,0,1,3.662,0,RB
4.863,42.1,3,0,0,3.335,1.273,9.967,1.027,1.12,1.216,2.283,10.249,1.568,0,1,3.743,0,RB
4.923,44.4,2,0,-0.863,3.239,1.185,9.911,1.011,1.116,1.248,2.267,10.422,1.563,0,1,3.73,0,RB
5.068,41.7,4,0,-1.1,3.571,1.59,10.257,1.03,1.121,1.202,2.343,22.449,2.147,0,0,3.793,0,RB
5.074,38.1,4,0,-0.98,3.869,2.066,10.59,1.001,1.129,1.215,2.354,23.965,3.873,0,0,3.795,0,RB
4.914,41.7,4,0,-0.952,3.571,1.59,10.236,1.03,1.121,1.202,2.307,22.204,2.465,0,0,3.764,0,RB
5.047,50,5,0,-2.685,3.634,1.06,10.531,1.078,1.104,1.211,2.454,32.533,1.75,0,1,3.906,0,RB
4.793,50,2,0,-0.288,3.699,0.5,10.239,0.998,1.104,1.28,2.247,11.596,3.928,0,0,3.681,0,RB
4.77,43.8,3,0,-0.986,3.261,1.185,9.882,1.04,1.117,1.207,2.236,10.231,1.74,0,2,3.712,0,RB
5.313,35.3,4,0,0,3.509,1.16,10.388,1.061,1.118,1.219,2.311,20.836,1.833,0,2,4.735,0,RB
4.77,38.5,0,0,3.12,3.131,1.185,9.882,0.964,1.128,1.274,2.236,0,1.74,0,0,3.521,0,RB
4.414,31.6,1,0,0,2.755,0.802,9.183,0.98,1.142,1.149,2.101,0,0.975,0,1,3.159,0,RB
4.821,33.3,2,0,-0.135,3.232,1.455,9.928,0.99,1.139,1.189,2.249,10.635,2.209,0,0,3.434,0,RB
5.331,47.4,4,0,0,4.133,0.393,10.867,1.009,1.102,1.3,2.37,13.055,2.694,0,0,4.44,0,RB
4.607,47.1,1,0,0,3.127,1.187,9.631,0.992,1.11,1.299,2.194,10.118,1.544,0,0,3.651,0,RB
5.814,37,1,0,0.513,3.256,0.845,10.926,0.978,1.131,1.254,2.62,11.573,0.811,0,0,3.756,0,RB
5.637,38.5,0,0,1.646,3.144,0.853,10.63,0.964,1.128,1.267,2.554,0,0.986,0,0,3.676,0,RB
5.814,34.5,1,0,0,3.227,0.845,10.926,0.975,1.136,1.223,2.62,0,0.811,0,1,3.693,0,RB
4.732,40,2,0,0.417,2.767,0.959,9.464,1.042,1.125,1.208,2.236,9.827,1.138,0,0,3.603,0,RB
4.923,50,2,0,-0.199,3.266,0.664,10.037,1.019,1.104,1.266,2.376,10.843,1.057,0,0,3.783,0,RB
4.414,45.5,2,0,0,2.935,1.203,9.209,1.038,1.114,1.296,2.152,9.774,1.496,0,0,3.67,0,RB
4.414,29.4,2,0,0,2.789,1.203,9.209,1.004,1.147,1.141,2.152,0,1.496,0,1,3.238,0,RB
4.982,50,2,2,-0.601,3.38,0.762,10.226,1.033,1.109,1.261,2.424,21.888,1.027,2,1,3.853,1,RB
4.651,31.3,1,0,0.292,2.826,0.917,9.502,0.998,1.148,1.19,2.214,10.5,0.918,2,0,3.482,1,RB
4.802,50,0,2,0,3.174,0,9.805,0.985,1.109,1.359,2.323,0,0.95,3,1,3.868,1,RB
5.164,23.1,3,0,0,3.108,0.917,9.968,1.055,1.138,1.188,2.256,20.417,0.939,0,0,4.681,0,RB
4.826,25,3,9,0,3.525,1.654,10.121,1.007,1.163,1.12,2.303,0,1.916,3,3,3.396,3,RB
4.829,39.3,3,2,-0.664,3.786,1.875,10.281,1.025,1.127,1.227,2.284,22.271,3.31,3,1,3.74,1,RB
5.439,23.5,11,7,-0.945,4.381,1.871,11.509,1.055,1.155,1.154,2.466,35.388,5.533,4,5,4.61,4,RB
4.739,39.1,2,1,-0.959,3.394,1.695,9.972,1.008,1.13,1.218,2.212,10.379,2.815,2,3,3.585,1,RB
4.659,23.1,4,0,-2.138,3.714,2.128,10.094,1.042,1.144,1.174,2.125,20.538,4.56,4,6,4.061,2,RB
3.975,32.3,0,0,0,3.699,3.322,9.707,0.961,1.141,1.209,1.978,0,8.122,0,0,2.994,0,RB
4.17,25,0,2,0,2.373,0.971,8.597,0.97,1.161,1.133,1.848,0,1.542,1,2,2.983,1,RB
3,20,0,0,0,1.883,0.918,6.594,0.975,1.174,1.126,1.414,0,1.333,0,1,2.642,1,RB
3.618,25,0,0,0,2.359,1.522,7.853,0.97,1.161,1.129,1.732,0,2.094,2,1,2.848,1,RB
3,22.2,1,0,0,1.926,0.918,6.594,0.998,1.162,1.06,1.414,0,1.333,0,1,2.651,0,RB
4,25,1,0,0,2.199,0.811,8.318,0.988,1.156,1.118,1.732,0,1,0,1,2.97,0,RB
4.444,29.6,1,0,0,2.946,1.891,9.202,0.973,1.146,1.16,2.042,0,2.602,0,1,3.096,0,RB
3.879,29.6,1,0,0,2.938,2.281,8.743,0.973,1.146,1.161,1.902,0,3.685,0,1,2.936,0,RB
3.95,31,1,0,0,3.364,2.807,9.296,0.969,1.143,1.18,1.956,0,5.698,0,1,2.976,0,RB
5.391,26.7,4,0,0,3.838,1.735,10.648,0.979,1.139,1.532,2.358,0,1.69,0,0,5.127,0,RB
3.732,25,2,0,0,2.597,1.585,8.16,1.005,1.156,1.069,1.802,0,2.488,0,2,2.897,0,RB
3.973,32.7,1,0,0,3.68,3.301,9.649,0.968,1.14,1.202,1.975,0,7.718,0,1,3.129,0,RB
3.414,30,1,0,0,2.263,1,7.408,0.998,1.146,1.141,1.618,0,1.707,0,1,2.974,0,RB
3.414,18.2,1,0,0,2.211,1,7.408,1.007,1.178,0.999,1.618,0,1.707,1,3,2.79,1,RB
4.334,26.3,2,0,0,2.746,1.557,8.944,0.998,1.153,1.099,1.97,0,2.195,0,1,3.114,0,RB
3,28.6,1,0,0,2.03,0.918,6.594,1.014,1.149,1.177,1.414,8.806,1.333,0,0,2.991,0,RB
4.17,30.8,1,0,0,2.466,0.971,8.597,0.989,1.144,1.196,1.848,9.505,1.542,0,0,3.18,0,RB
4.414,31.6,1,0,0.287,2.768,1.379,9.222,0.98,1.142,1.224,2,10.254,2.133,0,0,3.325,0,RB
4.414,33.3,2,0,-0.125,2.847,1.379,9.222,1.013,1.139,1.209,2,20.067,2.133,0,0,3.426,0,RB
4.236,34.6,2,0,-0.671,3.78,3.284,9.867,0.977,1.136,1.212,1.993,10.319,8.066,0,1,3.33,0,RB
4.523,31.6,3,0,-0.913,3.082,1.837,9.454,1.021,1.142,1.121,2.074,20.676,2.57,0,0,3.494,0,RB
4.475,32.4,4,0,-0.855,4.103,3.664,10.32,0.982,1.14,1.181,2.105,23.157,9.847,0,0,3.474,0,RB
4.836,32.5,6,0,-0.851,4.293,2.929,10.906,0.989,1.14,1.178,2.262,37.824,4.685,0,0,3.526,0,RB
4.476,30,2,0,-0.195,2.917,1.5,9.345,0.998,1.146,1.153,2.042,10.191,2.34,0,0,3.389,0,RB
4.235,28.6,3,0,-0.255,3.039,1.975,9.118,1.014,1.149,1.124,1.962,10.129,3.449,0,0,3.35,0,RB
4.38,30.8,4,0,-1.068,3.345,2.252,9.625,1.019,1.144,1.138,2.044,20.772,4.178,0,1,3.379,0,RB
4.412,33.9,4,0,-0.268,4.587,4.437,10.757,0.974,1.137,1.208,2.086,23.892,17.114,0,0,3.395,0,RB
4.243,31.3,4,0,-1.48,3.477,2.522,9.716,1.008,1.143,1.139,2,20.288,5.475,0,2,3.337,0,RB
4.237,31.8,4,0,-1.396,3.699,2.948,9.917,0.995,1.142,1.158,2,20.53,7.174,0,2,3.335,0,RB
4.412,30.6,8,0,-0.554,4.201,3.774,10.379,1.002,1.144,1.146,2.085,23.21,10.723,0,0,3.397,0,RB
4.544,30.4,4,0,-1.072,3.272,2.187,9.59,1.027,1.145,1.142,2.101,21.21,3.207,0,0,3.486,0,RB
4.399,32.3,4,0,-0.228,4.363,4.044,10.513,0.979,1.138,1.202,2.08,23.602,12.745,0,0,3.645,0,RB
4.706,30,4,0,-1.853,3.192,1.922,9.565,1.036,1.146,1.13,2.127,20.872,2.691,0,0,3.586,0,RB
4.67,33.3,2,0,0.218,3.447,2.21,9.961,0.983,1.139,1.203,2.147,11.115,3.769,0,0,3.53,0,RB
4.644,33.3,2,0,0.185,3.146,1.922,9.536,0.993,1.139,1.197,2.089,10.696,3.237,0,0,3.525,0,RB
4.644,33.3,2,0,0.238,3.939,3.418,10.195,0.973,1.138,1.21,2.094,11.181,9.52,0,0,3.525,0,RB
4.343,33.3,4,0,-2.514,3.047,1.5,9.309,1.09,1.139,1.108,2,19.107,2.682,0,2,3.519,0,RB
4.17,22.2,3,0,-1.19,2.555,0.971,8.597,1.083,1.162,1.018,1.848,9.118,1.542,0,2,3.333,0,RB
4.588,32,3,0,-0.579,3.256,1.859,9.768,1.007,1.141,1.174,2.12,21.203,3.114,0,0,3.48,0,RB
4.17,40,0,2,0.56,2.559,0.971,8.597,0.987,1.133,1.332,1.848,0,1.542,1,0,3.452,1,RB
5.098,17.6,3,0,0,3.176,1.5,9.872,1.041,1.159,1.131,2.112,19.811,2.472,1,2,4.692,1,RB
4.214,27.3,2,0,-0.738,2.953,1.459,8.755,1.057,1.146,1.174,1.902,9.587,2.052,0,0,3.815,0,RB
5.098,27.3,4,0,0,3.72,2.911,10.229,0.992,1.145,1.168,2.121,10.364,6.651,0,2,4.45,0,RB
4.372,38.5,0,0,2.495,3.129,1.922,9.494,0.964,1.128,1.288,2.031,0,3.412,0,0,3.363,0,RB
4.17,27.3,2,0,0,2.507,1.393,8.723,1.028,1.151,1.018,2.214,0,1.542,0,1,3.325,0,RB
3.802,31.6,1,0,0,2.746,1.95,8.394,0.98,1.142,1.169,1.848,0,2.885,0,1,3.104,0,RB
4.235,28,2,0,0,2.975,1.975,9.118,0.989,1.15,1.137,1.962,0,3.449,0,1,3.112,0,RB
4.752,31,6,0,-0.307,3.987,3.022,10.465,1,1.143,1.149,2.161,23.23,8.486,0,0,3.451,0,RB
4.618,33.3,4,0,-1.035,3.305,1.79,9.768,1.035,1.139,1.163,2.136,20.666,2.612,0,0,3.493,0,RB
4.562,10,2,0,-0.713,2.978,0.918,9.184,1.082,1.175,1.152,2,9.461,1.521,0,4,4.307,2,RB
4.77,41.7,0,0,0,3.164,1.185,9.882,0.966,1.121,1.299,2.236,0,1.74,0,0,3.646,0,RB
4.517,40,0,1,0,3.073,1.409,9.391,0.976,1.129,1.266,2.149,0,2.036,1,2,3.553,1,RB
4.414,46.2,1,0,0,2.884,0.802,9.183,0.998,1.112,1.264,2.101,0,0.975,0,1,3.566,0,RB
4.732,42.9,2,0,0,3.025,0.875,9.579,1.022,1.119,1.219,2.194,0,0.854,0,2,3.67,0,RB
4.607,41.2,2,0,0,3.118,1.187,9.631,1.011,1.122,1.214,2.194,0,1.544,0,1,3.649,0,RB
4.898,40.7,2,0,0,3.451,1.546,10.067,0.994,1.123,1.248,2.305,0,2,0,0,3.729,0,RB
4.97,46.2,1,0,0,3.66,0.861,10.06,1.073,1.099,1.334,2.307,0,0.962,0,1,4.106,0,RB
4.782,43.5,1,0,0,3.294,1.273,9.947,0.984,1.117,1.28,2.251,10.288,1.951,0,0,3.671,0,RB
4.869,40.9,3,0,0,3.404,1.528,10.009,1.018,1.123,1.22,2.29,10.337,1.945,0,1,3.743,0,RB
5.156,55.6,6,0,-3.296,3.788,0.75,10.813,1.103,1.093,1.225,2.532,44.736,1.508,0,0,3.986,0,RB
5.072,40,4,0,-1.016,3.678,1.875,10.32,1.016,1.125,1.21,2.349,23.088,2.707,0,0,3.793,0,RB
5.074,44.2,4,0,-1.025,4.037,1.563,10.658,1.003,1.116,1.243,2.355,24.332,4.684,0,0,3.798,0,RB
5.072,43.8,4,0,-1.165,3.808,2.123,10.379,1.015,1.117,1.235,2.351,23.409,3.342,0,0,3.795,0,RB
4.876,41.7,4,0,-0.858,3.571,1.59,10.236,1.03,1.121,1.203,2.297,22.051,2.573,0,0,3.755,0,RB
4.842,41.7,2,0,-0.87,3.39,1.258,10.136,0.998,1.121,1.238,2.278,10.482,2.113,0,1,3.718,0,RB
4.982,53.3,3,0,-1.101,3.39,0.762,10.226,1.05,1.097,1.249,2.424,21.666,1.027,0,0,3.866,0,RB
4.828,50,4,0,-1.417,3.838,0.584,10.424,1.026,1.104,1.248,2.265,22.962,4.401,0,0,3.715,0,RB
5.12,36.8,6,0,-1.775,4.156,2.419,10.778,1.004,1.131,1.195,2.4,36.905,3.368,0,0,3.852,0,RB
4.732,46.7,2,0,-0.879,3.151,1.187,9.642,1.02,1.111,1.235,2.194,10.201,1.659,0,1,3.663,0,RB
4.77,41.2,2,2,-0.931,3.249,1.185,9.882,1.024,1.127,1.219,2.236,10.271,1.74,2,3,3.707,1,RB
4.951,38.7,3,0,-0.464,3.59,2.071,10.241,1.002,1.127,1.223,2.29,11.465,3.744,0,1,3.743,0,RB
4.923,43.8,3,0,-1.113,3.261,1.185,9.911,1.04,1.117,1.207,2.267,10.262,1.563,0,2,3.741,0,RB
4.972,42.9,4,0,-1.648,3.513,1.508,10.173,1.04,1.119,1.211,2.307,21.185,2.228,0,1,3.761,0,RB
4.845,40,4,0,-0.746,3.678,2.125,10.281,1.016,1.125,1.217,2.282,22.67,3.549,0,0,3.718,0,RB
5.31,37.5,3,0,0,3.425,1.185,10.25,1.044,1.112,1.246,2.288,20.777,1.726,0,1,4.734,0,RB
4.414,35.3,1,0,0.464,2.801,0.802,9.183,0.985,1.134,1.197,2.101,10.463,0.975,0,0,3.344,0,RB
4.963,52.4,2,0,-0.884,3.532,0.985,10.277,1.009,1.099,1.296,2.359,10.645,1.762,0,1,3.881,0,RB
4.877,47.1,3,0,0,3.359,0.943,10.07,1.037,1.11,1.243,2.36,10.31,1.496,0,0,3.775,0,RB
4.414,41.7,1,1,0.041,2.898,0.802,9.183,1.016,1.128,1.254,2.101,10.249,0.975,2,1,3.535,1,RB
4.963,50,2,3,-0.995,3.539,0.985,10.277,1.02,1.108,1.277,2.359,10.582,1.762,4,1,3.899,1,RB
4.789,30.8,4,0,-0.318,3.354,1.425,10.091,1.019,1.144,1.149,2.274,10.582,2.257,0,0,3.477,0,RB
4.362,31.6,1,2,0.225,2.93,0.75,9.272,0.992,1.147,1.177,2.091,10.572,1.017,2,1,3.355,1,RB
4.983,23.1,6,0,0,3.342,1.792,10.074,1.044,1.16,1.011,2.247,0,2.666,0,6,3.397,0,RB
4.977,31.6,6,0,-0.336,4.19,3.866,10.735,0.991,1.142,1.157,2.361,11.756,10.593,0,3,3.497,0,RB
5.164,26.7,6,1,-0.462,3.592,1.437,10.493,1.042,1.155,1.083,2.402,10.741,2.081,3,5,3.551,1,RB
3.732,22.2,0,2,0,2.553,1.585,8.16,0.979,1.171,1.119,1.802,0,2.488,2,3,2.89,2,RB
3.966,30.8,0,2,0,3.545,3.146,9.522,0.964,1.145,1.194,1.97,0,6.909,2,1,3.005,1,RB
3.986,32.1,1,0,0,4.008,3.792,10.039,0.965,1.141,1.198,1.987,0,10.955,0,1,3.01,0,RB
4.235,29.6,1,0,0,2.946,1.975,9.118,0.973,1.146,1.168,1.962,0,3.449,0,1,3.064,0,RB
4.236,32.8,1,0,0,3.78,3.974,9.949,0.967,1.14,1.189,2.236,0,8.475,0,0,3.322,0,RB
4.362,27.3,2,0,0,2.867,1.906,9.059,0.993,1.151,1.123,2,0,2.524,0,2,3.076,0,RB
4.414,35.3,1,0,1.188,2.812,1.379,9.222,0.985,1.134,1.258,2,10.178,2.133,0,0,3.467,0,RB
4,25,2,0,-0.833,2.334,0.811,8.318,1.053,1.156,1.076,1.732,9,1,0,1,3.304,0,RB
4.412,32.8,4,0,-0.327,4.486,4.297,10.675,0.974,1.14,1.193,2.086,23.775,15.507,0,0,3.405,0,RB
4.534,32.4,4,0,-0.28,4.039,3.181,10.485,0.983,1.141,1.18,2.14,23.596,8.016,0,0,3.408,0,RB
4.386,32.5,4,0,-0.09,4.167,3.774,10.379,0.98,1.14,1.186,2.068,23.377,10.97,0,0,3.376,0,RB
4.263,28.6,4,0,-1.68,3.41,2.187,9.533,1.038,1.135,1.159,2,19.933,4.143,0,2,3.643,0,RB
4.17,30,1,1,-0.481,2.548,0.971,8.597,1.02,1.154,1.174,1.848,9.472,1.542,1,2,3.379,1,RB
4.65,31.3,2,0,0.159,3.39,2.134,9.916,0.991,1.145,1.184,2.122,10.961,3.936,3,0,3.527,1,RB
4.347,30.8,2,2,-0.193,3.233,2.3,9.338,0.998,1.147,1.169,2.011,10.535,4.098,1,1,3.405,1,RB
4.343,33.3,4,0,-2.514,3.047,1.5,9.309,1.09,1.139,1.108,2,19.107,2.682,0,2,3.519,0,RB
4.562,25,3,0,-1.185,2.71,0.918,9.184,1.053,1.156,1.066,2,9.449,1.521,0,2,3.424,0,RB
4.691,26.7,5,0,-2.845,3.138,1.436,9.666,1.086,1.153,1.066,2.117,19.412,2.428,0,3,3.49,0,RB
4.476,31.3,3,0,-0.644,2.985,1.5,9.345,1.032,1.143,1.156,2.042,20.291,2.34,0,0,3.458,0,RB
4.385,32.4,7,0,-1.569,3.819,3.09,9.999,1.034,1.141,1.135,2.061,21.678,6.884,0,0,3.432,0,RB
4.791,23.1,2,8,-1.384,3.354,1.73,9.99,1.018,1.173,1.117,2.194,20.829,2.395,2,6,3.467,4,RB
4.303,34.8,1,0,1.559,3.027,1.837,9.389,0.979,1.135,1.236,2,10.396,3.193,0,0,3.349,0,RB
4.499,46.7,0,0,0,3.185,1.125,9.311,0.991,1.107,1.323,2.136,0,1.481,0,0,3.692,0,RB
4.651,41.7,2,3,-0.396,3.482,1.911,9.989,1.007,1.125,1.256,2.202,21.674,3.267,3,1,3.611,1,RB
4.692,40.7,2,3,-0.393,3.547,1.876,10.164,1.002,1.126,1.259,2.236,21.814,3.356,3,1,3.659,1,RB
4.543,40.9,1,2,0.008,3.298,1.705,9.722,0.993,1.127,1.253,2.166,10.506,2.905,2,1,3.567,1,RB
4.653,36.2,1,0,0,3.874,3.355,10.213,0.97,1.132,1.236,2.214,0,8.143,0,1,3.64,0,RB
4.562,42.9,2,0,0,3.025,0.875,9.54,1.022,1.119,1.209,2.17,0,1.14,0,2,3.646,0,RB
4.77,45,1,0,0.125,3.217,1.185,9.882,0.987,1.114,1.294,2.236,10.757,1.74,0,0,3.695,0,RB
5.072,36.1,4,0,-0.892,4.22,2.972,10.799,0.984,1.133,1.22,2.351,24.843,7.668,0,0,3.794,0,RB
