@relation 'landsat-statlog-weka.filters.unsupervised.attribute.Remove-R3-4,7-8,11-12,15,19,23,27,31-32,35-36-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R17'

@attribute x1 numeric
@attribute x2 numeric
@attribute x5 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute class {1,2,3,4,5,7}

@data
80,89,88,92,115,84,99,85,88,99,85,88,103,88,88,103,88,103,84,103,3
88,102,92,92,115,88,99,85,88,103,88,88,112,92,88,103,84,103,88,111,3
92,115,92,84,106,88,112,92,88,112,88,92,112,92,88,111,93,107,93,111,3
84,106,84,84,98,92,112,88,88,103,85,97,107,88,88,111,93,107,93,107,3
84,98,84,84,106,97,107,88,92,112,92,92,112,92,93,107,93,107,88,107,3
84,102,84,88,111,92,112,92,92,112,92,92,107,92,93,107,88,107,88,107,3
84,106,88,88,111,92,112,92,92,107,92,92,107,88,88,107,88,107,88,107,3
88,111,88,88,111,92,107,92,92,107,88,88,107,88,88,107,88,107,88,107,3
88,111,92,88,106,88,107,88,88,107,88,88,103,85,88,107,88,103,93,103,3
92,106,88,84,106,88,107,88,88,103,85,88,103,92,88,103,93,103,88,107,3
88,98,84,88,106,88,107,88,88,103,81,88,103,88,88,111,88,107,88,107,3
84,98,88,88,102,88,103,81,88,103,88,84,99,85,88,107,88,107,88,107,3
88,102,88,84,102,84,99,85,84,103,81,88,99,85,88,107,84,99,79,99,3
88,98,84,88,111,84,103,81,88,99,85,84,103,85,84,99,79,99,88,95,3
84,102,88,88,111,88,99,85,84,103,85,88,95,81,79,99,88,95,88,95,3
88,111,88,84,106,88,95,81,84,99,85,88,103,85,88,95,88,103,88,103,3
84,106,84,84,106,88,103,85,88,107,85,88,103,85,88,103,88,103,84,103,3
84,106,88,88,106,88,103,85,88,103,85,88,99,85,84,103,84,99,84,103,3
88,106,88,84,106,88,103,85,88,99,85,84,99,85,84,99,84,103,88,99,3
88,106,84,84,102,88,99,85,84,99,85,84,99,81,84,103,88,99,84,99,3
84,102,84,80,98,84,99,81,84,99,81,80,91,78,84,99,79,95,79,99,3
84,98,80,80,94,84,99,81,80,91,78,80,87,74,79,95,79,99,79,95,3
80,94,76,68,77,80,87,74,71,75,78,60,54,74,79,95,79,91,75,79,5
76,89,68,60,62,71,75,78,60,54,74,56,61,78,79,91,75,79,75,83,5
60,62,64,80,94,56,61,78,71,79,81,80,95,85,75,83,84,99,84,99,5
64,73,80,84,98,71,79,81,80,95,85,80,91,81,84,99,84,99,79,95,7
80,94,76,72,81,76,83,74,71,79,70,71,79,67,75,83,71,75,71,79,7
72,81,68,64,69,71,79,67,71,79,67,71,79,63,71,79,71,75,67,72,7
68,73,64,68,77,71,79,67,71,79,63,68,75,67,71,75,67,72,67,64,7
68,77,64,57,55,68,75,67,60,68,67,53,54,70,67,64,59,61,55,54,5
64,66,57,53,49,60,68,67,53,54,70,53,54,63,59,61,55,54,55,51,5
57,55,53,57,49,53,54,70,53,54,63,56,54,63,55,54,55,51,55,48,5
57,49,53,53,52,56,54,63,56,51,63,53,51,67,55,48,51,48,51,48,5
101,126,92,84,103,102,126,104,88,121,100,84,107,87,90,113,90,113,95,128,3
92,112,84,84,99,88,121,100,84,107,87,84,99,79,90,113,95,128,95,123,3
84,103,84,84,99,84,107,87,84,99,79,84,99,79,95,128,95,123,82,100,3
84,99,84,76,99,84,99,79,84,99,79,84,103,79,95,123,82,100,82,100,3
84,99,76,76,99,84,99,79,84,103,79,79,107,87,82,100,82,100,82,100,3
76,99,76,80,107,79,107,87,79,107,87,79,107,87,82,100,78,100,82,104,3
76,103,80,80,112,79,107,87,79,107,87,79,103,83,78,100,82,104,82,104,3
80,107,80,80,107,79,107,87,79,103,83,79,103,79,82,104,82,104,82,100,3
80,112,80,80,95,79,103,83,79,103,79,79,95,79,82,104,82,100,78,96,3
80,91,80,80,95,79,95,75,75,95,79,75,91,75,74,91,78,91,74,87,4
80,95,76,76,95,75,91,75,75,91,71,79,87,71,74,87,74,87,78,87,4
76,91,76,76,91,75,91,71,79,87,71,79,87,67,74,87,78,87,74,87,4
76,95,76,76,87,79,87,71,79,87,67,75,87,71,78,87,74,87,74,87,4
76,91,76,76,87,79,87,67,75,87,71,75,91,71,74,87,74,87,78,87,4
68,83,68,68,79,71,79,62,67,75,62,71,75,62,70,83,70,83,66,79,4
68,83,68,68,79,67,75,62,71,75,62,67,79,62,70,83,66,79,66,79,4
71,83,68,68,83,71,79,62,71,75,67,71,75,62,70,79,66,71,59,60,4
68,83,68,71,83,71,75,67,71,75,62,67,75,71,66,71,59,60,56,49,4
76,91,76,84,103,67,75,79,75,83,83,79,99,83,49,40,46,34,49,40,4
76,95,84,84,103,75,83,83,79,99,83,84,99,87,46,34,49,40,63,67,3
84,103,84,88,107,79,99,83,84,99,87,84,99,87,49,40,63,67,82,96,3
88,107,88,88,112,84,103,83,88,107,87,88,107,87,86,100,90,104,86,104,3
88,112,88,88,103,88,107,87,88,107,83,84,99,83,86,104,86,104,86,104,3
84,99,88,88,103,88,103,87,88,103,87,84,103,87,86,100,90,104,90,104,3
88,99,88,88,112,88,103,87,84,103,87,88,111,92,90,104,90,104,90,109,3
88,103,88,88,112,84,103,87,88,111,92,93,107,92,90,104,90,109,90,109,3
88,112,88,92,112,88,111,92,93,107,92,93,111,92,90,109,90,109,90,109,3
88,112,92,92,112,93,107,92,93,111,92,93,116,92,90,109,90,109,90,109,3
92,112,92,92,112,93,111,92,93,116,92,88,111,92,90,109,90,109,90,104,3
92,112,92,88,103,93,116,92,88,111,92,93,107,87,90,109,90,104,90,109,3
92,112,88,97,107,88,111,92,93,107,87,93,107,87,90,104,90,109,90,109,3
88,103,97,92,112,93,107,87,93,107,87,93,107,87,90,109,90,109,90,104,3
97,107,92,92,112,93,107,87,93,107,87,88,107,92,90,109,90,104,90,104,3
92,112,92,92,107,93,107,87,88,107,92,88,107,87,90,104,90,104,86,104,3
92,107,92,88,107,88,107,87,88,107,87,88,107,87,86,104,90,104,90,109,3
92,107,88,88,107,88,107,87,88,107,87,88,103,87,90,104,90,109,86,104,3
88,107,88,88,103,88,107,87,88,103,87,93,103,87,90,109,86,104,86,104,3
88,107,88,88,103,88,103,87,93,103,87,88,107,87,86,104,86,104,86,96,3
88,103,88,88,107,93,103,87,88,107,87,88,111,92,86,104,86,96,86,104,3
88,103,88,84,99,88,107,87,88,107,87,88,107,83,90,109,86,109,86,109,3
84,99,84,88,99,88,107,83,84,99,87,79,99,79,86,109,90,109,86,104,3
84,103,88,84,103,84,99,87,79,99,79,88,95,79,90,109,86,104,86,104,3
88,99,84,88,95,79,99,79,88,95,79,88,95,83,86,104,86,104,82,100,3
84,99,88,88,107,88,103,83,88,103,83,88,103,83,82,100,86,100,82,100,3
88,103,88,88,103,88,103,83,88,103,83,84,103,83,86,100,82,100,82,100,3
88,107,88,88,103,88,103,83,84,103,83,84,99,83,82,100,82,100,86,100,3
88,103,88,88,99,84,103,83,84,99,83,84,103,83,82,100,86,100,82,96,3
88,103,88,84,99,84,99,83,84,103,83,88,99,79,86,100,82,96,82,100,3
84,99,80,80,87,79,95,79,79,99,83,79,95,83,82,96,86,96,82,96,3
80,87,71,60,54,79,95,83,79,91,79,75,79,79,82,96,82,100,82,96,3
71,79,80,80,91,84,99,83,84,99,83,79,95,75,82,100,86,100,86,100,3
80,91,80,76,83,79,95,75,75,87,71,75,83,71,86,100,86,100,82,96,7
80,91,76,71,79,75,87,71,75,83,71,71,75,67,86,100,82,96,78,83,7
71,79,71,71,79,71,75,67,71,79,67,71,75,67,78,83,74,75,70,79,7
71,79,71,68,75,71,75,67,67,72,67,67,64,67,70,79,70,75,66,71,7
71,79,68,60,68,67,72,67,67,64,67,59,61,71,70,75,66,71,66,63,5
68,75,60,53,54,67,64,67,59,61,71,55,54,67,66,71,66,63,59,60,5
60,68,53,53,54,59,61,71,55,54,67,55,51,67,66,63,59,60,59,56,5
53,54,53,56,54,55,54,67,55,51,67,55,48,62,59,60,59,56,59,53,5
53,54,56,56,51,55,51,67,55,48,62,51,48,67,59,56,59,53,56,49,5
56,54,56,53,51,55,48,62,51,48,67,51,48,67,59,53,56,49,49,40,5
97,126,102,102,126,90,109,89,90,109,89,90,113,92,96,108,92,103,87,108,3
102,137,102,88,121,90,109,89,90,113,92,90,113,96,92,103,87,108,87,103,3
102,126,88,84,107,90,113,92,90,113,96,95,128,103,87,108,87,103,92,122,3
84,107,84,84,99,95,128,103,95,123,100,82,100,85,92,122,96,127,92,108,3
84,99,84,84,103,95,123,100,82,100,85,82,100,81,96,127,92,108,83,103,3
84,99,84,79,107,82,100,85,82,100,81,82,100,78,92,108,83,103,79,103,3
84,103,79,79,107,82,100,81,82,100,78,78,100,81,83,103,79,103,79,99,3
79,107,79,79,107,82,100,78,78,100,81,82,104,85,79,103,79,99,83,103,3
79,103,79,79,95,82,104,85,82,100,85,78,96,78,79,99,79,95,83,95,3
79,103,79,79,95,82,100,85,78,96,78,78,91,70,79,95,83,95,83,91,4
79,95,79,79,95,78,96,78,78,91,70,74,91,70,83,95,83,91,83,91,4
79,95,75,75,91,74,91,70,78,91,74,74,87,70,83,91,79,91,79,91,4
75,95,75,75,91,78,91,74,74,87,70,74,87,70,79,91,79,91,79,88,4
79,87,79,75,87,78,87,70,74,87,66,74,87,70,79,91,75,91,79,88,4
75,87,75,75,87,74,87,70,78,87,66,78,87,66,79,88,75,84,75,84,4
75,87,71,71,79,78,87,66,74,83,66,70,83,66,75,84,75,88,75,91,4
71,87,71,71,79,74,83,66,70,83,66,70,83,70,75,88,75,91,75,88,4
71,75,71,67,75,66,71,70,59,60,81,56,49,100,49,45,46,37,46,32,2
71,75,67,67,75,59,60,81,56,49,100,49,40,114,46,37,46,32,46,34,2
67,75,67,75,83,56,49,100,49,40,114,46,34,125,46,32,46,34,42,34,2
79,99,84,84,99,49,40,114,63,67,85,82,96,78,46,34,52,48,71,77,2
84,99,84,84,103,63,67,85,82,96,78,86,100,85,52,48,71,77,83,99,3
84,99,84,88,107,82,96,78,86,100,85,90,104,85,71,77,83,99,87,103,3
84,103,88,88,107,86,100,85,90,104,85,86,104,85,83,99,87,103,87,95,3
88,107,88,88,107,90,104,85,86,104,85,86,104,85,87,103,87,95,83,99,3
88,107,84,88,103,86,104,85,86,104,85,86,100,85,83,99,87,99,87,103,3
84,99,88,88,103,86,104,85,86,100,85,90,104,89,87,99,87,103,87,108,3
88,103,88,84,103,86,100,85,90,104,89,90,104,85,87,103,87,108,92,108,3
88,103,84,88,111,90,104,89,90,104,85,90,109,85,87,108,92,108,96,108,3
84,103,88,93,107,90,104,85,90,109,85,90,109,89,92,108,96,108,96,112,3
88,111,93,93,111,90,109,85,90,109,89,90,109,89,96,108,96,112,92,108,3
93,107,93,93,116,90,109,89,90,109,89,90,109,89,96,112,92,108,87,108,3
93,111,93,88,111,90,109,89,90,109,89,90,104,92,92,108,87,108,92,108,3
93,116,88,93,107,90,109,89,90,104,92,90,109,89,87,108,92,108,87,103,3
88,111,93,93,107,90,104,92,90,109,89,90,109,89,92,108,87,103,87,103,3
93,107,93,93,107,90,109,89,90,109,89,90,104,85,87,103,87,103,92,108,3
93,107,88,88,107,90,104,85,90,104,89,86,104,89,92,108,92,108,92,108,3
88,107,88,88,107,90,104,89,86,104,89,90,104,92,92,108,92,108,92,103,3
88,107,88,88,107,86,104,89,90,104,92,90,109,89,92,108,92,103,87,103,3
88,107,88,88,103,90,104,92,90,109,89,86,104,85,92,103,87,103,92,103,3
88,107,88,93,103,90,109,89,86,104,85,86,104,81,87,103,92,103,92,103,3
93,103,88,88,111,86,104,81,86,96,81,86,104,85,92,103,87,99,87,103,3
88,107,88,88,107,86,96,81,86,104,85,90,109,92,87,99,87,103,92,108,3
88,111,88,88,107,86,104,85,90,109,92,86,109,89,87,103,92,108,92,108,3
88,107,88,88,107,90,109,92,86,109,89,86,109,89,92,108,92,108,87,108,3
88,107,88,84,99,86,109,89,86,109,89,90,109,92,92,108,87,108,87,108,3
88,107,84,79,99,86,109,89,90,109,92,86,104,89,87,108,87,108,87,103,3
84,99,79,88,95,90,109,92,86,104,89,86,104,85,87,108,87,103,83,103,3
79,99,88,88,95,86,104,89,86,104,85,82,100,85,87,103,83,103,83,103,3
88,95,88,88,103,86,104,85,82,100,85,82,100,78,83,103,83,103,83,99,3
88,95,88,88,103,82,100,85,82,100,78,86,100,81,83,103,83,99,79,95,3
88,103,84,84,99,82,100,81,82,100,81,86,100,81,79,95,83,99,87,99,3
84,103,84,84,103,82,100,81,86,100,81,82,96,81,83,99,87,99,87,95,3
84,99,84,88,99,86,100,81,82,96,81,82,100,81,87,99,87,95,83,99,3
88,99,84,79,95,82,100,81,82,96,78,82,96,81,83,99,83,99,83,95,3
79,95,79,79,95,82,96,81,86,96,81,82,96,81,83,95,79,99,79,99,3
79,99,79,79,91,86,96,81,82,96,81,82,100,78,79,99,79,99,83,95,3
79,95,79,75,79,82,96,81,82,100,78,82,96,81,79,99,83,95,83,95,3
75,79,75,84,99,82,96,81,82,96,85,82,100,85,83,95,83,99,87,99,3
84,99,84,79,95,82,100,85,86,100,85,86,100,85,87,99,83,103,83,103,3
84,99,79,75,87,86,100,85,86,100,85,86,100,85,83,103,83,103,83,103,3
79,95,75,75,83,86,100,85,86,100,85,82,96,81,83,103,83,103,87,103,3
75,87,75,71,75,86,100,85,82,96,81,78,83,70,83,103,87,103,79,88,7
75,83,71,71,79,82,96,81,78,83,70,74,75,66,87,103,79,88,71,81,7
71,75,67,67,64,70,79,66,70,75,66,66,71,66,71,77,71,81,71,77,7
67,72,67,59,61,70,75,66,66,71,66,66,63,66,71,81,71,77,67,73,5
67,64,59,55,54,66,71,66,66,63,66,59,60,63,71,77,67,73,63,66,5
59,61,55,55,51,66,63,66,59,60,63,59,56,66,67,73,63,66,63,63,5
55,54,55,55,48,59,60,63,59,56,66,59,53,70,63,66,63,63,63,66,5
55,51,55,51,48,59,56,66,59,53,70,56,49,70,63,63,63,66,59,57,5
55,48,51,51,48,59,53,70,56,49,70,49,40,66,63,66,59,57,56,48,5
90,109,90,90,113,96,108,90,92,103,86,87,108,86,97,120,97,115,89,120,3
90,113,90,95,128,87,108,86,87,103,90,92,122,109,89,120,93,115,93,125,3
90,113,95,95,123,87,103,90,92,122,109,96,127,105,93,115,93,125,93,130,3
95,123,82,82,100,96,127,105,92,108,86,83,103,83,93,130,89,120,78,106,3
82,100,82,82,100,92,108,86,83,103,83,79,103,83,89,120,78,106,78,102,3
82,100,82,78,100,83,103,83,79,103,83,79,99,83,78,106,78,102,78,102,3
82,100,78,82,104,79,103,83,79,99,83,83,103,86,78,102,78,102,82,102,3
78,96,78,74,91,83,95,75,83,91,72,83,91,72,78,97,82,92,78,92,4
78,91,74,78,91,83,91,72,83,91,72,79,91,72,82,92,78,92,74,92,4
74,91,78,74,87,83,91,72,79,91,72,79,91,68,78,92,74,92,78,88,4
78,91,74,74,87,79,91,72,79,91,68,79,88,68,74,92,78,88,82,88,4
74,87,74,78,87,79,91,68,79,88,68,79,91,72,78,88,82,88,78,92,4
78,87,74,74,87,79,91,72,75,91,68,79,88,68,78,92,78,88,82,92,4
74,87,78,78,87,79,88,68,75,84,68,75,84,72,82,92,78,88,78,84,4
78,87,78,74,83,75,84,68,75,84,72,75,88,68,78,88,78,84,74,84,4
78,87,74,70,83,75,84,72,75,88,68,75,91,75,78,84,74,84,74,88,4
70,83,70,70,83,75,91,75,75,88,72,67,81,64,74,88,67,75,57,63,4
70,83,66,66,79,67,81,64,63,77,72,63,73,83,57,63,53,49,47,40,2
70,79,66,59,60,59,60,98,49,45,116,46,37,127,42,37,44,34,44,34,2
66,71,59,56,49,49,45,116,46,37,127,46,32,131,44,34,44,34,42,31,2
59,60,56,49,40,46,37,127,46,32,131,46,34,131,44,34,42,31,44,34,2
49,40,46,49,40,46,34,131,42,34,131,46,34,131,44,34,44,37,44,34,2
46,34,49,63,67,42,34,131,46,34,131,52,48,105,44,37,44,34,44,34,2
63,67,82,86,100,52,48,105,71,77,75,83,99,83,44,34,53,56,74,92,2
86,100,90,86,104,83,99,83,87,103,86,87,95,83,74,92,82,102,85,102,3
90,104,86,86,104,87,103,86,87,95,83,83,99,83,82,102,85,102,85,97,3
86,104,86,86,104,87,95,83,83,99,83,87,99,86,85,102,85,97,82,97,3
86,104,86,86,100,83,99,83,87,99,86,87,103,86,85,97,82,97,93,106,3
90,109,90,90,109,96,108,90,96,112,90,92,108,90,93,111,89,111,89,106,3
90,109,90,90,104,92,108,90,87,108,90,92,108,86,89,106,89,106,89,102,3
90,109,90,90,109,87,108,90,92,108,86,87,103,90,89,106,89,102,93,106,3
90,104,90,90,109,92,108,86,87,103,90,87,103,86,89,102,93,106,93,111,3
90,109,90,90,104,87,103,90,87,103,86,92,108,86,93,106,93,111,93,106,3
90,109,90,90,104,87,103,86,92,108,86,92,108,86,93,111,93,106,89,111,3
90,104,86,90,104,92,108,86,92,108,86,92,103,86,89,111,85,106,89,106,3
86,104,90,90,109,92,108,86,92,103,86,87,103,83,85,106,89,106,89,106,3
86,104,86,86,104,92,103,86,87,99,83,87,103,86,89,111,89,111,89,111,3
86,96,86,90,109,87,99,83,87,103,86,92,108,90,89,111,89,111,89,106,3
86,104,90,86,109,87,103,86,92,108,90,92,108,90,89,111,89,106,89,106,3
86,109,90,86,104,87,108,86,87,108,90,87,103,86,89,102,89,106,89,106,3
90,109,86,86,104,87,108,90,87,103,86,83,103,86,89,106,89,106,85,102,3
86,104,82,82,100,83,103,86,83,103,83,83,99,79,85,102,85,106,89,97,3
86,100,82,82,100,79,95,79,79,95,79,83,99,83,85,102,85,102,85,97,3
86,100,82,82,100,87,99,83,87,95,83,83,99,79,85,102,85,111,89,106,3
82,96,82,82,96,87,95,83,83,99,79,83,99,79,85,111,89,106,89,106,3
82,100,82,82,96,83,99,79,83,99,79,83,95,79,89,106,89,106,85,102,3
82,96,86,82,96,83,95,79,79,99,79,79,99,83,85,102,85,102,85,102,3
82,96,82,82,96,79,99,83,83,95,83,83,95,79,85,102,82,102,82,102,3
82,100,82,82,96,83,95,83,83,95,79,83,99,83,82,102,82,102,89,106,3
82,96,82,82,100,83,95,79,83,99,83,87,99,83,82,102,89,106,89,106,3
86,100,86,82,96,83,103,79,83,103,83,87,103,83,78,102,82,106,82,97,3
86,100,82,78,83,83,103,83,87,103,83,79,88,72,82,106,82,97,82,97,3
82,96,78,74,75,87,103,83,79,88,72,71,81,68,82,97,82,97,78,88,7
78,83,74,70,79,79,88,72,71,81,68,71,77,64,82,97,78,88,70,79,7
74,75,70,70,75,71,81,68,71,77,64,71,81,68,78,88,70,79,70,88,7
70,79,70,66,71,71,77,64,71,81,68,71,77,68,70,79,70,88,74,84,7
66,71,66,59,60,71,77,68,67,73,60,63,66,57,74,84,74,79,67,79,7
66,63,59,59,56,67,73,60,63,66,57,63,63,60,74,79,67,79,70,79,7
59,60,59,59,53,63,66,57,63,63,60,63,66,64,67,79,70,79,67,75,5
59,56,59,56,49,63,63,60,63,66,64,59,57,64,70,79,67,75,60,63,7
59,53,56,49,40,63,66,64,59,57,64,56,48,68,67,75,60,63,57,56,5
96,108,92,87,108,97,120,101,97,115,97,89,120,97,97,131,92,120,88,120,3
92,103,87,87,103,97,115,97,89,120,97,93,115,101,92,120,88,120,88,125,3
87,108,87,92,122,89,120,97,93,115,101,93,125,104,88,120,88,125,88,125,3
87,103,92,96,127,93,115,101,93,125,104,93,130,101,88,125,88,125,88,125,3
92,122,96,92,108,93,125,104,93,130,101,89,120,97,88,125,88,125,88,125,3
96,127,92,83,103,93,130,101,89,120,97,78,106,87,88,125,88,125,84,111,3
79,103,79,83,103,78,102,83,78,102,83,82,102,83,76,102,80,98,80,98,3
79,99,79,83,95,82,102,80,78,102,80,78,97,80,80,98,80,98,84,94,3
79,95,83,83,91,78,102,80,78,97,80,82,92,76,80,98,84,94,80,94,3
83,91,83,79,91,82,92,76,78,92,73,74,92,69,80,94,80,89,80,89,4
83,91,79,79,91,78,92,73,74,92,69,78,88,73,80,89,80,89,80,94,4
79,91,79,79,88,74,92,69,78,88,73,82,88,73,80,89,80,94,80,94,4
79,91,79,79,91,78,88,73,82,88,73,78,92,73,80,94,80,94,80,89,4
79,91,75,79,88,78,92,73,78,88,73,82,92,73,80,89,80,89,80,85,4
75,91,79,75,84,78,88,73,82,92,73,78,88,73,80,89,80,85,72,85,4
79,88,75,75,84,82,92,73,78,88,73,78,84,69,80,85,72,85,72,81,4
75,84,75,75,88,78,88,73,78,84,69,74,84,69,72,85,72,81,64,69,4
75,84,75,75,91,78,84,69,74,84,69,74,88,76,72,81,64,69,57,49,4
75,88,75,75,88,74,84,69,74,88,76,67,75,80,64,69,57,49,50,40,4
75,91,75,67,81,74,88,76,67,75,80,57,63,90,57,49,50,40,47,34,2
75,88,67,63,77,67,75,80,57,63,90,53,49,108,50,40,47,34,47,34,2
63,77,63,59,60,53,49,108,47,40,122,42,37,129,47,34,47,34,44,34,2
59,60,49,46,37,42,37,129,44,34,136,44,34,136,44,34,44,34,44,31,2
49,45,46,46,32,44,34,136,44,34,136,42,31,133,44,34,44,31,44,34,2
46,37,46,46,34,44,34,136,42,31,133,44,34,133,44,31,44,34,44,31,2
46,32,46,42,34,42,31,133,44,34,133,44,37,136,44,34,44,31,47,31,2
52,48,71,83,99,44,34,133,53,56,97,74,92,76,41,31,44,40,64,73,2
71,77,83,87,103,53,56,97,74,92,76,82,102,83,44,40,64,73,84,102,3
87,103,87,83,99,82,102,83,85,102,83,85,97,83,84,102,88,111,88,102,3
87,95,83,87,99,85,102,83,85,97,83,82,97,83,88,111,88,102,84,111,3
83,99,87,87,103,85,97,83,82,97,83,93,106,90,88,102,84,111,84,106,3
87,99,87,87,108,82,97,83,93,106,90,93,115,90,84,111,84,106,92,106,3
87,103,87,92,108,93,106,90,93,115,90,93,115,90,84,106,92,106,92,111,3
87,108,92,96,108,93,115,90,93,115,90,93,111,90,92,106,92,111,88,106,3
92,108,96,96,112,93,115,90,93,111,90,89,111,87,92,111,88,106,84,102,3
92,108,87,92,108,89,106,87,89,106,87,89,102,87,88,106,88,111,92,111,3
87,108,92,87,103,89,106,87,89,102,87,93,106,90,88,111,92,111,88,111,3
87,103,87,92,108,93,106,90,93,111,94,93,106,87,88,111,92,106,88,106,3
87,103,92,92,108,93,111,94,93,106,87,89,111,87,92,106,88,106,84,102,3
92,108,92,92,103,89,111,87,85,106,87,89,106,90,84,102,84,106,88,111,3
92,103,87,92,103,89,106,90,89,106,90,93,106,90,88,111,88,106,88,111,3
92,103,92,87,99,93,106,90,89,111,83,89,111,87,88,111,92,111,92,111,3
92,103,87,87,103,89,111,83,89,111,87,89,111,87,92,111,92,111,88,106,3
87,99,87,92,108,89,111,87,89,111,87,89,106,87,92,111,88,106,88,115,3
92,108,92,87,108,89,106,87,89,106,90,89,102,90,88,115,92,115,88,111,3
92,108,87,87,108,89,106,90,89,102,90,89,106,87,92,115,88,111,84,106,3
87,108,87,87,103,89,102,90,89,106,87,89,106,90,88,111,84,106,88,106,3
87,103,83,83,103,89,106,90,85,102,87,85,106,87,88,106,92,106,92,106,3
83,103,83,79,95,85,106,87,89,97,83,85,102,87,92,106,88,102,88,106,3
83,99,79,79,95,89,97,83,85,102,87,85,102,80,88,102,88,106,88,106,3
79,95,79,83,99,85,102,87,85,102,80,85,97,83,88,106,88,106,84,111,3
79,95,83,87,99,85,102,80,85,97,83,85,102,83,88,106,84,111,84,102,3
83,99,87,87,95,85,97,83,85,102,83,85,111,87,84,111,84,102,88,111,3
87,95,83,83,99,85,111,87,89,106,87,89,106,87,88,111,88,111,88,106,3
83,95,79,79,99,85,102,83,85,102,83,85,102,83,88,106,88,106,88,111,3
79,99,79,83,95,85,102,83,85,102,83,82,102,83,88,106,88,111,88,102,3
83,95,83,83,99,82,102,83,82,102,87,89,106,87,88,102,84,102,88,102,3
83,99,87,83,103,89,106,87,89,106,83,82,102,83,88,102,84,102,80,98,3
87,99,83,83,103,89,106,83,82,102,83,78,102,83,84,102,80,98,84,98,3
83,103,83,83,103,82,102,83,78,102,83,82,106,87,80,98,84,98,80,98,3
83,103,83,87,103,78,102,83,82,106,87,82,97,87,84,98,80,98,80,98,3
83,103,87,79,88,82,106,87,82,97,87,82,97,80,80,98,80,98,76,94,3
71,77,71,71,77,70,79,65,70,88,69,74,84,69,76,85,76,85,68,85,7
71,77,67,63,66,74,84,69,74,79,69,67,79,65,68,85,72,85,72,81,7
63,66,63,63,66,67,79,65,70,79,62,67,75,62,72,81,72,81,72,77,7
63,63,63,59,57,70,79,62,67,75,62,60,63,58,72,81,72,77,64,73,7
63,66,59,56,48,67,75,62,60,63,58,57,56,62,72,77,64,73,68,77,7
97,120,97,89,120,97,131,105,92,120,98,88,120,98,92,126,88,126,88,121,3
97,115,89,93,115,92,120,98,88,120,98,88,125,102,88,126,88,121,92,121,3
