@relation 'Steel-Plates-weka.filters.unsupervised.attribute.Remove-R7,10,14,18,23-24-weka.filters.unsupervised.attribute.Remove-R17'

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x22 numeric
@attribute class {0,1}

@data
90,104,751059,751132,552,38,59750,79,1687,150,0.1067,0.1918,0.0083,0.3684,27.419,11.461,0.8082,0
82,89,844704,844729,137,8,14907,92,1687,150,0.0972,0.28,0.0041,0.875,21.367,0.8451,0.72,0
1601,1613,21349,21376,209,15,24807,96,1687,200,0.0877,0.4444,0.0071,0.8,23.201,10.792,0.5556,0
17,28,42683,42717,284,18,32604,87,1687,200,0.0202,0.3235,0.0065,0.6111,24.533,10.414,0.6765,0
43,52,86284,86313,153,13,17753,101,1687,200,0.051,0.3103,0.0053,0.6923,21.847,0.9542,0.6897,0
63,72,115485,115504,106,10,13829,107,1687,200,0.0747,0.4737,0.0053,0.9,20.253,0.9542,0.5263,0
82,92,149044,149083,264,15,32175,92,1687,200,0.0972,0.2564,0.0059,0.6667,24.216,1,0.7436,0
75,84,184350,184383,201,17,27349,123,1687,200,0.0889,0.2727,0.0053,0.5294,23.032,0.9542,0.7273,0
1363,1372,2128884,2128907,171,9,16645,77,1373,40,0.0015,0.3913,0.0066,1,2.233,0.9542,0.6087,0
1358,1372,2356396,2356435,395,19,38722,75,1373,40,0.0015,0.359,0.0102,0.7368,25.966,11.461,0.641,0
1404,1410,5202306,5202324,85,9,8948,97,1627,40,0.2668,0.3333,0.0037,0.6667,19.294,0.7782,0.6667,0
1281,1302,4332564,4332815,3214,92,368381,33,1373,40,0.1034,0.0837,0.0153,0.2283,35.071,13.222,0.9163,0
49,62,4822354,4822392,386,15,36875,51,1373,40,0.0714,0.3421,0.0095,0.8667,25.866,11.139,0.6579,0
830,837,1874382,1874415,182,9,20751,99,1373,40,0.7808,0.2121,0.0051,0.7778,22.601,0.8451,0.7879,0
91,104,2378173,2378236,527,19,48793,47,1387,40,0.1312,0.2063,0.0094,0.6842,27.218,11.139,0.7936,0
161,168,2891780,2891804,158,9,16680,80,1387,40,0.2322,0.2917,0.005,0.7778,21.987,0.8451,0.7083,0
1328,1338,2691161,2691189,214,10,19762,70,1387,50,0.0707,0.3571,0.0072,1,23.304,1,0.6429,0
1251,1274,3874199,3874261,994,29,68851,15,1387,50,0.1629,0.371,0.0166,0.7931,29.974,13.617,0.629,0
733,745,3957796,3957839,367,16,35856,55,1387,50,0.9257,0.2791,0.0087,0.75,25.647,10.792,0.7209,0
12,24,304433,304472,320,15,32705,55,1353,70,0.0177,0.3077,0.0089,0.8,25.052,10.792,0.6923,0
162,172,505964,506035,378,34,43323,77,1353,70,0.2395,0.1408,0.0074,0.2941,25.775,1,0.8591,0
0,10,1701480,1701528,210,36,17413,73,1333,40,0,0.2083,0.0075,0.2778,23.222,1,0.7917,0
1617,1629,183688,183711,201,22,20993,79,1633,250,0.0049,0.5217,0.0074,0.5454,23.032,10.792,0.4783,0
1152,1162,284144,284198,386,35,44712,90,1687,200,0.6224,0.1852,0.0059,0.2857,25.866,1,0.8148,0
1259,1271,1918092,1918128,324,30,30269,65,1353,70,0.1212,0.3333,0.0089,0.4,25.106,10.792,0.6667,0
1545,1557,19815,19841,234,20,23207,66,1627,40,0.086,0.4615,0.0074,0.6,23.692,10.792,0.5385,0
1580,1590,3884411,3884461,340,30,34655,88,1627,40,0.0455,0.2,0.0061,0.3333,25.315,1,0.8,0
450,458,1009978,1009999,98,16,10784,96,1690,60,0.5325,0.381,0.0047,0.5,19.912,0.9031,0.6191,0
1625,1634,1702442,1702491,267,43,22785,67,1690,60,0.0663,0.1837,0.0053,0.2093,24.265,0.9542,0.8163,0
1495,1502,3509718,3509731,56,12,5587,85,1686,60,0.2183,0.5385,0.0041,0.5833,17.482,0.8451,0.4615,0
958,964,3550754,3550771,71,11,7502,91,1682,60,0.8537,0.3529,0.0036,0.5454,18.513,0.7782,0.6471,0
1536,1548,43036,43048,90,14,7525,67,1688,60,0.1659,1,0.0071,0.8571,19.542,10.792,0,0
780,787,1686880,1686891,55,9,6124,95,1690,60,0.9231,0.6364,0.0041,0.7778,17.404,0.8451,0.3636,0
1140,1147,2379116,2379129,58,9,6567,100,1690,60,0.6426,0.5385,0.0041,0.7778,17.634,0.8451,0.4615,0
13,24,2512899,2512965,567,47,46365,51,1690,60,0.0154,0.1667,0.0065,0.234,27.536,10.414,0.8333,0
11,20,2845229,2845256,182,20,16337,72,1688,60,0.013,0.3333,0.0053,0.45,22.601,0.9542,0.6667,0
1589,1599,3826564,3826588,154,20,13678,69,1650,69,0.0618,0.4167,0.0061,0.5,21.875,1,0.5833,0
765,774,4157586,4157620,188,20,20528,95,1648,69,0.9284,0.2647,0.0055,0.45,22.742,0.9542,0.7353,0
1268,1277,5437033,5437060,146,20,15572,88,1646,69,0.4484,0.3333,0.0055,0.45,21.644,0.9542,0.6667,0
333,346,5683008,5683014,51,14,6902,120,1650,69,0.4036,0.4615,0.0079,0.9286,17.076,11.139,-0.5385,0
1287,1299,1005865,1005895,184,25,18593,85,1650,100,0.4254,0.4,0.0073,0.48,22.648,10.792,0.6,0
1088,1096,1094617,1094629,67,10,7416,94,1710,100,0.7181,0.6667,0.0047,0.8,18.261,0.9031,0.3333,0
1255,1261,718602,718617,64,10,7013,99,1360,100,0.1456,0.4,0.0044,0.6,18.062,0.7782,0.6,0
707,714,807870,807880,53,10,5039,81,1360,100,0.95,0.7,0.0052,0.7,17.243,0.8451,0.3,0
1186,1193,238656,238667,60,10,6863,100,1362,120,0.2482,0.6364,0.0051,0.7,17.781,0.8451,0.3636,0
626,635,2071945,2071956,76,14,8063,84,1362,120,0.9192,0.8182,0.0066,0.6429,18.808,0.9542,0.1818,0
1503,1510,893849,893861,66,9,6625,87,1632,100,0.1495,0.5833,0.0043,0.7778,18.195,0.8451,0.4167,0
1152,1161,969900,969911,70,9,7846,99,1632,100,0.5772,0.8182,0.0055,1,18.451,0.9542,0.1818,0
1533,1542,1031539,1031599,382,43,38206,77,1632,100,0.1103,0.15,0.0055,0.2093,25.821,0.9542,0.85,0
788,796,1060712,1060732,110,13,11126,84,1630,100,0.9669,0.4,0.0049,0.6154,20.414,0.9031,0.6,0
34,40,914648,914661,51,8,5369,95,1654,100,0.0411,0.4615,0.0036,0.75,17.076,0.7782,0.5385,0
1604,1612,1194800,1194814,63,15,5232,73,1656,100,0.0531,0.5714,0.0048,0.5333,17.993,0.9031,0.4286,0
1610,1618,1944129,1944138,56,12,4674,71,1656,100,0.0459,0.8889,0.0048,0.6667,17.482,0.9031,0.1111,0
1617,1628,2095494,2095507,89,14,7804,77,1658,100,0.0362,0.8461,0.0066,0.7857,19.494,10.414,0.1539,0
1589,1598,2493647,2493675,190,21,18416,81,1648,100,0.0607,0.3214,0.0055,0.4286,22.787,0.9542,0.6786,0
482,490,11430396,11430416,81,15,8709,99,1656,100,0.5821,0.4,0.0048,0.5333,19.085,0.9031,0.6,0
1067,1073,237702,237720,63,17,4616,58,1694,211,0.7332,0.3333,0.0035,0.3529,17.993,0.7782,0.6667,0
623,631,309514,309526,60,9,4585,62,1694,211,0.7355,0.6667,0.0047,0.8889,17.781,0.9031,0.3333,0
446,453,200561,200567,30,8,3022,80,1692,143,0.5272,0.8571,0.0041,0.875,14.771,0.8451,-0.1429,0
375,384,519677,519708,209,24,24034,90,1692,143,0.4433,0.2903,0.0053,0.375,23.201,0.9542,0.7097,0
125,134,1334420,1334443,156,20,18654,101,1352,80,0.1849,0.3913,0.0067,0.45,21.931,0.9542,0.6087,0
124,140,2377039,2377320,2643,165,300024,64,1400,40,0.1771,0.0569,0.0114,0.097,34.221,12.041,0.9431,0
1321,1339,513812,514011,2145,134,228995,16,1380,40,0.0594,0.0904,0.013,0.1343,33.314,12.553,0.9096,0
817,843,66196,66362,1421,142,141034,47,1666,40,0.9808,0.1566,0.0156,0.1831,31.526,1.415,0.8434,0
808,816,161967,161984,103,13,11430,97,1666,40,0.97,0.4706,0.0048,0.6154,20.128,0.9031,0.5294,0
1327,1335,126951,126958,40,11,4014,89,1364,60,0.0425,0.875,0.0059,0.7273,16.021,0.9031,-0.125,0
64,95,417618,418215,10914,481,1096282,21,1362,60,0.094,0.0519,0.0228,0.0645,4.038,14.914,0.9481,0
57,69,33796,33812,135,18,10915,55,1360,200,0.0838,0.75,0.0088,0.6667,21.303,10.792,0.25,0
921,930,638468,638484,114,14,13173,94,1392,220,0.6638,0.5625,0.0065,0.6429,20.569,0.9542,0.4375,0
830,837,837868,837888,82,13,9671,106,1392,220,0.7974,0.35,0.005,0.5385,19.138,0.8451,0.65,0
1201,1213,3496093,3496125,275,19,28986,78,1362,40,0.2188,0.375,0.0088,0.6316,24.393,10.792,0.625,0
1227,1238,3980733,3980769,289,25,32134,92,1364,40,0.1848,0.3056,0.0081,0.44,24.609,10.414,0.6944,0
959,974,4178002,4178041,313,36,35005,68,1364,40,0.5719,0.3846,0.011,0.4167,24.955,11.761,0.6154,0
320,333,4383724,4383776,437,36,44883,63,1364,40,0.4692,0.25,0.0095,0.3611,26.405,11.139,0.75,0
34,51,132507,132576,759,45,67978,44,1362,40,0.0499,0.2464,0.0125,0.3778,28.802,12.305,0.7536,0
159,172,273320,273387,677,44,67597,72,1360,40,0.2338,0.194,0.0096,0.2955,28.306,11.139,0.806,0
1265,1278,31580,31602,211,18,17820,49,1364,100,0.1261,0.5909,0.0095,0.7222,23.243,11.139,0.4091,0
1343,1352,106512,106519,52,9,5049,87,1366,100,0.0205,0.7778,0.0066,1,1.716,0.9542,-0.2222,0
557,570,2425687,2425716,261,28,28261,91,1358,40,0.8203,0.4483,0.0096,0.4643,24.166,11.139,0.5517,0
1058,1066,367429,367455,135,18,15385,103,1690,70,0.7385,0.3077,0.0047,0.4444,21.303,0.9031,0.6923,0
780,787,1044544,1044587,181,29,20264,99,1690,70,0.9231,0.1628,0.0041,0.2414,22.577,0.8451,0.8372,0
971,979,1246698,1246717,109,15,12212,100,1694,70,0.8442,0.4211,0.0047,0.5333,20.374,0.9031,0.5789,0
374,382,2670756,2670772,102,11,11385,95,1692,70,0.4421,0.5,0.0047,0.7273,20.086,0.9031,0.5,0
1027,1034,2928247,2928259,51,8,5999,111,1692,70,0.7778,0.5833,0.0041,0.875,17.076,0.8451,0.4167,0
1554,1564,3375744,3375765,134,13,13356,89,1690,70,0.1491,0.4762,0.0059,0.7692,21.271,1,0.5238,0
179,193,1280228,1280256,266,23,24547,49,1626,120,0.2202,0.5,0.0086,0.6087,24.249,11.461,0.5,0
980,992,333332,333435,970,57,97514,66,1362,175,0.5433,0.1165,0.0088,0.2105,29.868,10.792,0.8835,0
1579,1592,562576,562633,515,32,41622,46,1632,125,0.049,0.2281,0.008,0.4063,27.118,11.139,0.7719,0
225,235,719009,719024,116,17,11656,71,1634,125,0.2754,0.6667,0.0061,0.5882,20.645,1,0.3333,0
1465,1486,1837263,1837460,2490,146,283038,19,1634,125,0.1812,0.1066,0.0128,0.1438,33.962,13.222,0.8934,0
1360,1373,2094748,2094776,251,22,28050,89,1632,125,0.3174,0.4643,0.008,0.5909,23.997,11.139,0.5357,0
1155,1167,2124816,2124840,165,22,18742,87,1626,125,0.5646,0.5,0.0074,0.5454,22.175,10.792,0.5,0
1325,1334,1959035,1959052,112,16,11439,84,1358,40,0.0353,0.5294,0.0066,0.5625,20.492,0.9542,0.4706,0
1260,1271,552783,552815,208,24,22478,84,1350,50,0.117,0.3438,0.0082,0.4583,23.181,10.414,0.6563,0
1245,1258,702370,702405,337,26,33379,68,1354,50,0.1418,0.3714,0.0096,0.5,25.276,11.139,0.6286,0
1687,1696,150712,150740,167,24,9559,23,1698,90,0.0024,0.3214,0.0053,0.375,22.227,0.9542,0.6786,0
1507,1516,188768,188800,200,24,21691,90,1696,90,0.2123,0.2813,0.0053,0.375,2.301,0.9542,0.7188,0
1688,1694,247330,247414,359,29,19226,30,1696,90,0.0024,0.0714,0.0035,0.2069,25.551,0.7782,0.9286,0
1685,1692,297096,297166,349,33,24697,45,1698,90,0.0071,0.1,0.0041,0.2121,25.428,0.8451,0.9,0
1687,1694,348227,348257,140,12,9253,38,1698,90,0.0047,0.2333,0.0041,0.5833,21.461,0.8451,0.7667,0
1571,1583,435871,435916,379,35,37695,80,1700,90,0.1376,0.2667,0.0071,0.3429,25.786,10.792,0.7333,0
757,766,487568,487588,121,13,13345,89,1698,90,0.8916,0.45,0.0053,0.6923,20.828,0.9542,0.55,0
1568,1583,564536,564621,762,63,78455,88,1698,90,0.1355,0.1765,0.0088,0.2381,28.819,11.761,0.8235,0
1571,1585,689792,689890,861,78,90154,91,1696,90,0.1309,0.1429,0.0082,0.1795,2.935,11.461,0.8571,0
1575,1589,815462,815504,335,37,32766,86,1696,90,0.1262,0.3333,0.0082,0.3784,2.525,11.461,0.6667,0
1579,1590,939827,939860,242,24,24672,90,1698,90,0.1272,0.3333,0.0065,0.4583,23.838,10.414,0.6667,0
1395,1407,1108752,1108782,264,26,25531,64,1696,90,0.3408,0.4,0.0071,0.4615,24.216,10.792,0.6,0
5,13,1137189,1137216,134,20,14605,94,1694,90,0.0059,0.2963,0.0047,0.4,21.271,0.9031,0.7037,0
1578,1590,1208774,1208843,372,56,37930,77,1696,90,0.125,0.1739,0.0071,0.2143,25.705,10.792,0.8261,0
1595,1611,1594430,1594517,794,59,84410,62,1696,90,0.1002,0.1839,0.0094,0.2712,28.998,12.041,0.8161,0
10,22,1678200,1678232,227,28,23706,77,1698,90,0.0118,0.375,0.0071,0.4286,2.356,10.792,0.625,0
1593,1608,1724027,1724129,927,65,89508,68,1698,90,0.106,0.1471,0.0088,0.2308,29.671,11.761,0.8529,0
9,18,1743219,1743250,227,22,21864,74,1698,90,0.0106,0.2903,0.0053,0.4091,2.356,0.9542,0.7097,0
1505,1514,1751260,1751304,271,35,28268,85,1700,90,0.2188,0.2045,0.0053,0.2571,2.433,0.9542,0.7954,0
1470,1488,1771553,1771642,771,50,76380,63,1698,90,0.2474,0.2023,0.0106,0.36,2.887,12.553,0.7977,0
1643,1656,1809470,1809524,471,37,43880,62,1698,90,0.0495,0.2407,0.0077,0.3514,2.673,11.139,0.7593,0
1555,1570,1823955,1823987,285,24,29895,81,1698,90,0.1508,0.4688,0.0088,0.625,24.548,11.761,0.5313,0
923,931,1120157,1120180,120,17,12238,84,1688,70,0.8969,0.3478,0.0047,0.4706,20.792,0.9031,0.6522,0
1540,1558,1511165,1511591,4686,251,454421,30,1688,70,0.154,0.0422,0.0107,0.0717,36.708,12.553,0.9578,0
1251,1256,458923,458941,70,15,8051,106,1356,40,0.1475,0.2778,0.0037,0.3333,18.451,0.699,0.7222,0
83,92,3528981,3529007,180,18,19118,80,1362,40,0.1219,0.3462,0.0066,0.5,22.553,0.9542,0.6539,0
375,386,1063504,1063527,170,18,18052,79,1698,60,0.4417,0.4783,0.0065,0.6111,22.304,10.414,0.5217,0
1136,1142,1421726,1421746,83,14,9917,110,1696,60,0.6533,0.3,0.0035,0.4286,19.191,0.7782,0.7,0
451,465,2550845,2551201,2705,213,197957,28,1364,80,0.6613,0.0393,0.0103,0.0657,34.322,11.461,0.9607,0
1331,1336,4270168,4270218,177,15,17388,65,1360,100,0.0353,0.1,0.0037,0.3333,2.248,0.699,0.9,0
172,183,212157,212188,221,26,22508,66,1358,40,0.2533,0.3548,0.0081,0.4231,23.444,10.414,0.6452,0
30,38,2277670,2277688,109,16,11573,89,1358,40,0.0442,0.4444,0.0059,0.5,20.374,0.9031,0.5556,0
389,399,5427410,5427424,104,14,11748,84,1362,40,0.5712,0.7143,0.0073,0.7143,2.017,1,0.2857,0
450,466,11741476,11741833,3319,221,363821,37,1360,40,0.6618,0.0448,0.0118,0.0724,3.521,12.041,0.9552,0
41,54,12577343,12577396,501,33,46520,49,1358,40,0.0604,0.2453,0.0096,0.3939,26.998,11.139,0.7547,0
295,308,12725281,12725314,291,20,28711,68,1358,40,0.4345,0.3939,0.0096,0.65,24.639,11.139,0.6061,0
268,279,12917033,12917094,444,43,45269,78,1360,40,0.3941,0.1803,0.0081,0.2558,26.474,10.414,0.8197,0
62,74,12987661,12987692,258,27,26902,75,1360,40,0.0912,0.3871,0.0088,0.4444,24.116,10.792,0.6129,0
18,26,471253,471281,168,24,20267,102,1360,70,0.0265,0.2857,0.0059,0.3333,22.253,0.9031,0.7143,0
16,26,786881,786900,136,19,16571,99,1358,70,0.0236,0.5263,0.0074,0.5263,21.335,1,0.4737,0
19,28,808173,808199,119,26,14471,97,1358,70,0.028,0.3462,0.0066,0.3462,20.756,0.9542,0.6539,0
16,26,1377748,1377782,257,21,31058,91,1356,70,0.0236,0.2941,0.0074,0.4762,24.099,1,0.7059,0
14,23,1461247,1461302,265,47,34055,106,1358,70,0.0206,0.1636,0.0066,0.1915,24.232,0.9542,0.8364,0
13,21,1488612,1488636,105,18,13943,120,1358,70,0.0192,0.3333,0.0059,0.4444,20.212,0.9031,0.6667,0
15,24,1620686,1620708,154,20,19711,103,1358,70,0.0221,0.4091,0.0066,0.45,21.875,0.9542,0.5909,0
17,26,1651888,1651909,145,18,18695,101,1358,70,0.025,0.4286,0.0066,0.5,21.614,0.9542,0.5714,0
1166,1185,2258648,2258662,123,33,15858,116,1708,100,0.6124,0.7368,0.0111,0.5758,20.899,12.787,-0.2632,0
7,19,21512,21518,56,13,6632,108,1354,70,0.0103,0.5,0.0089,0.9231,17.482,10.792,-0.5,0
37,53,50442,50467,226,33,25563,100,1354,70,0.0547,0.64,0.0118,0.4848,23.541,12.041,0.36,0
39,51,66522,66578,436,41,39043,71,1354,70,0.0576,0.2143,0.0089,0.2927,26.395,10.792,0.7857,0
193,205,82308,82319,84,19,9155,99,1354,70,0.2851,0.9167,0.0089,0.6316,19.243,10.792,-0.0833,0
145,159,102099,102111,63,20,7752,109,1354,70,0.2142,0.8571,0.0103,0.7,17.993,11.461,-0.1429,0
39,60,118073,118242,1590,143,154035,80,1354,70,0.0576,0.1243,0.0155,0.1469,32.014,13.222,0.8757,0
141,182,133683,133829,2267,201,248809,96,1354,70,0.2083,0.2808,0.0303,0.204,33.554,16.128,0.7192,0
68,103,149046,149092,521,90,62926,104,1354,70,0.1004,0.7609,0.0258,0.3889,27.168,15.441,0.2391,0
81,94,162885,162940,395,54,41476,92,1356,70,0.1195,0.2364,0.0096,0.2407,25.966,11.139,0.7636,0
0,17,177337,177387,353,53,32335,79,1352,70,0,0.34,0.0126,0.3207,25.478,12.305,0.66,0
94,106,190885,190920,205,33,22913,98,1354,70,0.1389,0.3429,0.0089,0.3636,23.117,10.792,0.6571,0
10,21,204933,204953,135,16,8781,46,1356,70,0.0148,0.55,0.0081,0.6875,21.303,10.414,0.45,0
3,15,221100,221142,294,35,20642,47,1356,70,0.0044,0.2857,0.0088,0.3429,24.683,10.792,0.7143,0
16,24,240377,240390,71,12,6820,86,1356,70,0.0236,0.6154,0.0059,0.6667,18.513,0.9031,0.3846,0
144,150,254652,254670,56,16,6593,109,1354,70,0.2127,0.3333,0.0044,0.375,17.482,0.7782,0.6667,0
30,39,274230,274244,54,17,5912,97,1354,70,0.0443,0.6429,0.0066,0.5294,17.324,0.9542,0.3571,0
63,82,287835,287869,400,49,35427,78,1356,70,0.0929,0.5588,0.014,0.3878,26.021,12.787,0.4412,0
166,174,303149,303167,82,22,9467,105,1358,70,0.2445,0.4444,0.0059,0.3636,19.138,0.9031,0.5556,0
158,168,319303,319317,69,14,7659,98,1358,70,0.2327,0.7143,0.0074,0.7143,18.389,1,0.2857,0
174,194,334304,334316,114,38,13595,106,1354,70,0.257,0.6,0.0148,0.5263,20.569,1.301,-0.4,0
513,529,350481,350500,158,28,15719,89,1354,70,0.7577,0.8421,0.0118,0.5714,21.987,12.041,0.1579,0
25,37,362724,362736,57,15,4557,70,1354,70,0.0369,1,0.0089,0.8,17.559,10.792,0,0
9,18,374580,374591,74,15,4347,36,1356,70,0.0133,0.8182,0.0066,0.6,18.692,0.9542,0.1818,0
185,199,387402,387414,75,23,8535,104,1356,70,0.2729,0.8571,0.0103,0.6087,18.751,11.461,-0.1429,0
134,156,411630,411717,787,94,85268,94,1356,70,0.1976,0.2529,0.0162,0.234,2.896,13.424,0.7471,0
81,216,425023,425176,5027,748,611544,93,1358,70,0.1193,0.8824,0.0994,0.1805,37.013,21.303,0.1177,0
385,408,439180,439212,353,65,34230,84,1356,70,0.5678,0.7188,0.017,0.3539,25.478,13.617,0.2813,0
34,42,451067,451079,59,13,5608,85,1354,70,0.0502,0.6667,0.0059,0.6154,17.708,0.9031,0.3333,0
1147,1160,463836,463848,74,19,8915,109,1354,70,0.2866,0.9231,0.0096,0.6842,18.692,11.139,-0.0769,0
260,272,477075,477082,55,12,6106,101,1356,70,0.3835,0.5833,0.0088,1,17.404,10.792,-0.4167,0
1,16,494893,494946,397,50,21964,33,1354,70,0.0015,0.283,0.0111,0.3,25.988,11.761,0.717,0
225,244,506783,506794,123,28,13148,95,1356,70,0.3319,0.5789,0.014,0.6786,20.899,12.787,-0.4211,0
369,380,518261,518272,78,24,8388,95,1356,70,0.5443,1,0.0081,0.4583,18.921,10.414,0,0
436,442,530968,530985,63,17,6374,90,1356,70,0.6431,0.3529,0.0044,0.3529,17.993,0.7782,0.6471,0
506,519,548929,548953,170,28,20000,105,1356,70,0.7463,0.5417,0.0096,0.4643,22.304,11.139,0.4583,0
109,121,560425,560445,124,18,13549,97,1352,70,0.1612,0.6,0.0089,0.6667,20.934,10.792,0.4,0
49,71,573049,573118,884,106,83716,77,1356,70,0.0723,0.3188,0.0162,0.2076,29.464,13.424,0.6812,0
51,61,585861,585888,139,21,8233,40,1356,70,0.0752,0.3704,0.0074,0.4762,2.143,1,0.6296,0
397,415,604478,604528,444,58,51661,97,1358,70,0.5847,0.36,0.0132,0.3103,26.474,12.553,0.64,0
703,718,618132,618148,112,23,11154,87,1356,70,0.941,0.9375,0.0111,0.6522,20.492,11.761,0.0625,0
405,416,634279,634288,71,15,8824,113,1358,70,0.5965,0.8182,0.0081,0.7333,18.513,10.414,-0.1818,0
135,142,646729,646749,77,15,8235,97,1356,70,0.1991,0.35,0.0052,0.4667,18.865,0.8451,0.65,0
0,14,677297,677417,812,93,60260,51,1358,70,0,0.1167,0.0103,0.1505,29.096,11.461,0.8833,0
10,42,697885,698089,2904,197,145129,22,1358,70,0.0147,0.1569,0.0236,0.1624,3.463,15.051,0.8431,0
10,32,718425,718521,964,106,53750,29,1356,70,0.0148,0.2292,0.0162,0.2076,29.841,13.424,0.7708,0
8,31,751592,751656,521,61,31515,43,1358,70,0.0118,0.3594,0.0169,0.3771,27.168,13.617,0.6406,0
216,250,763872,763947,938,117,110127,102,1356,70,0.3186,0.4533,0.0251,0.2906,29.722,15.315,0.5467,0
34,139,776120,776424,4315,470,479002,82,1354,70,0.0502,0.3454,0.0776,0.2234,3.635,20.212,0.6546,0
226,249,791161,791249,995,70,110993,95,1354,70,0.3338,0.2614,0.017,0.3286,29.978,13.617,0.7386,0
174,194,802771,802822,585,101,63194,96,1352,70,0.2574,0.3922,0.0148,0.198,27.672,1.301,0.6078,0
0,37,814236,814627,7292,466,608995,43,1352,70,0,0.0946,0.0274,0.0794,38.628,15.682,0.9054,0
2,27,830707,830795,1014,96,61231,40,1356,70,0.003,0.2841,0.0184,0.2604,3.006,13.979,0.7159,0
161,193,851460,851553,1784,90,202537,95,1354,70,0.2378,0.3441,0.0236,0.3556,32.514,15.051,0.6559,0
123,143,874488,874545,573,67,60005,90,1354,70,0.1817,0.3509,0.0148,0.2985,27.582,1.301,0.6491,0
65,104,896899,897032,2875,202,316233,82,1352,70,0.0962,0.2932,0.0289,0.1931,34.586,15.911,0.7068,0
27,56,908862,908986,2483,107,198389,44,1354,70,0.0399,0.2339,0.0214,0.271,3.395,14.624,0.7661,0
244,275,923170,923211,709,84,83627,105,1352,70,0.3609,0.7561,0.0229,0.369,28.507,14.914,0.2439,0
144,164,936743,936828,1148,85,121595,89,1354,70,0.2127,0.2353,0.0148,0.2353,30.599,1.301,0.7647,0
138,184,949306,949493,3811,235,365943,78,1358,70,0.2032,0.246,0.0339,0.1957,3.581,16.628,0.754,0
66,92,961682,961728,613,95,63480,90,1356,70,0.0974,0.5652,0.0192,0.2737,27.875,1.415,0.4348,0
168,181,973635,973704,540,69,66181,110,1354,70,0.2482,0.1884,0.0096,0.1884,27.324,11.139,0.8116,0
168,201,983776,983827,694,60,77691,94,1354,70,0.2482,0.6471,0.0244,0.55,28.414,15.185,0.3529,0
157,167,1009876,1009888,67,15,8477,113,1352,70,0.2323,0.8333,0.0074,0.6667,18.261,1,0.1667,0
189,214,1025376,1025473,1348,98,126759,81,1356,70,0.2788,0.2577,0.0184,0.2551,31.297,13.979,0.7423,0
61,78,1036126,1036161,265,47,26694,86,1356,70,0.09,0.4857,0.0125,0.3617,24.232,12.305,0.5143,0
