@relation Weight-Lifting

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x16 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x40 numeric
@attribute x42 numeric
@attribute x44 numeric
@attribute x46 numeric
@attribute x47 numeric
@attribute class {A,B,E}

@data
-25.3,58.2,-94.6,9,0.47,-0.16,-70,-7,47,183,495,273,98.8,92.5,-239,172,-149,-383,441,384,-0.31,0.21,0.07,4,22,36,-477,193,287,-169,-14,125,-0.13,-153,216,1120,-367,E
-25.9,58.5,-94.9,9,0.42,-0.15,-71,-8,49,181,498,271,102,91.9,-239,171,-157,-381,444,348,-0.32,0.21,0.1,4,20,40,-470,185,296,-170,-15.4,125,-0.48,-158,214,1120,-363,E
-26.4,58.8,-95.2,9,0.37,-0.11,-74,-12,49,174,502,276,106,91.3,-240,173,-167,-390,458,332,-0.32,0.21,0.13,3,20,39,-476,189,288,-171,-16.9,126,-0.74,-165,209,1120,-366,E
-27,59,-95.6,9,0.32,-0.07,-75,-12,52,170,502,279,109,90.9,-244,168,-176,-401,471,303,-0.32,0.21,0.11,1,16,36,-463,191,278,-172,-18.2,127,-0.9,-171,208,1130,-366,E
-27.5,59.2,-95.9,10,0.29,-0.05,-76,-8,57,168,495,273,112,90.4,-251,172,-187,-410,466,268,-0.32,0.22,0.08,1,16,39,-470,195,291,-173,-19.5,127,-0.85,-188,205,1130,-375,E
-27.9,59.4,-96.1,10,0.26,-0.05,-83,-8,59,164,498,277,115,90.1,-246,168,-186,-415,478,265,-0.31,0.24,0.07,0,18,44,-471,196,276,-174,-20.2,128,-0.51,-191,189,1110,-359,E
-28.2,59.5,-96.3,10,0.22,-0.03,-84,-13,56,164,498,291,118,90,-250,169,-193,-426,474,226,-0.31,0.26,0.07,0,18,43,-469,193,284,-175,-20.4,128,-0.24,-176,195,1090,-331,E
-28.4,59.7,-96.4,10,0.21,0,-80,-10,55,157,504,276,121,90,-259,162,-200,-435,470,201,-0.29,0.24,0.1,1,19,44,-468,198,291,-176,-20.2,128,-0.39,-178,204,1070,-322,E
-28.6,59.8,-96.4,10,0.18,0,-77,-1,53,152,495,287,124,90,-264,157,-204,-441,466,193,-0.27,0.27,0.1,-2,14,46,-468,201,278,-177,-20,129,-0.64,-201,212,1050,-304,E
-28.7,59.9,-96.4,10,0.16,-0.02,-78,5,53,152,500,285,126,90.1,-271,157,-211,-454,464,170,-0.26,0.29,0.08,-2,11,52,-473,201,290,-178,-19.7,130,-0.75,-215,214,1040,-292,E
-28.8,60,-96.3,10,0.13,-0.03,-79,6,54,150,492,284,129,90.2,-271,153,-211,-459,464,165,-0.24,0.31,0.07,4,10,55,-463,200,275,-178,-19.4,130,-0.82,-211,211,1030,-287,E
-28.9,60.1,-96.2,10,0.11,-0.03,-82,1,54,152,497,293,132,90.3,-274,150,-214,-467,461,144,-0.18,0.29,0.08,17,9,51,-471,203,281,-178,-19,131,-0.88,-216,206,1030,-297,E
-28.9,60.2,-96.1,10,0.08,0,-78,-4,52,154,499,286,134,90.5,-274,146,-218,-480,462,132,-0.11,0.31,0.15,23,2,47,-472,201,280,-178,-18.6,132,-0.79,-227,208,1040,-307,E
-28.9,60.2,-95.9,9,0.05,0,-77,-4,51,152,507,288,136,90.7,-277,145,-225,-489,455,118,-0.11,0.37,0.2,23,-12,45,-471,214,278,-178,-18.2,133,-0.71,-224,213,1040,-301,E
-28.8,60.2,-95.6,10,0.02,0.02,-79,-5,52,156,498,280,138,91,-277,137,-221,-490,459,92,-0.18,0.4,0.16,12,-20,44,-466,209,268,-179,-17.9,134,-0.72,-231,218,1040,-302,E
-28.6,60.1,-95.3,10,-0.02,0.02,-80,-7,52,149,503,286,140,91.2,-277,130,-220,-496,453,83,-0.24,0.4,0.05,0,-20,45,-467,215,268,-179,-17.8,134,-0.67,-231,217,1040,-307,E
-28.4,60.1,-95,10,-0.03,0.02,-77,-8,54,155,507,282,142,91.4,-277,126,-219,-504,440,68,-0.31,0.4,-0.08,-10,-4,45,-467,213,267,-179,-17.7,135,-0.58,-225,215,1040,-299,E
-28.2,60,-94.7,9,-0.05,0.03,-73,-8,53,151,495,283,144,91.7,-281,128,-221,-505,443,67,-0.34,0.4,-0.2,-13,13,43,-469,217,274,-179,-17.7,135,-0.48,-218,213,1030,-296,E
-28,59.9,-94.4,9,-0.03,0.03,-69,-7,50,152,490,285,145,91.9,-281,128,-226,-509,435,64,-0.31,0.4,-0.26,-15,26,39,-465,223,275,-180,-17.8,135,-0.42,-214,216,1020,-289,E
-27.8,59.9,-94,9,-0.02,0.03,-66,1,51,159,494,278,145,91.9,-283,129,-227,-509,441,51,-0.21,0.42,-0.36,-11,37,38,-462,218,272,180,-17.9,135,-0.42,-209,218,1010,-280,E
-27.6,59.8,-93.7,9,0.02,0.03,-66,1,51,156,501,276,145,91.8,-282,127,-226,-509,434,53,-0.11,0.4,-0.39,-1,43,35,-467,212,280,179,-18.1,136,-0.45,-208,221,1000,-292,E
-27.5,59.8,-93.5,8,0.03,0.02,-65,0,52,160,504,278,145,91.6,-281,127,-224,-514,430,61,-0.08,0.4,-0.38,9,40,30,-457,214,278,179,-18.3,136,-0.48,-207,221,998,-276,E
-27.4,59.8,-93.3,9,0.06,0,-66,0,53,157,499,279,145,91.4,-278,125,-220,-506,438,70,-0.1,0.37,-0.31,19,34,26,-462,217,280,178,-18.5,136,-0.45,-210,218,992,-281,E
-27.4,59.9,-93.2,8,0.08,0,-65,-2,52,155,502,284,144,91.3,-281,124,-221,-503,439,64,-0.13,0.32,-0.25,29,35,21,-466,217,282,178,-18.7,136,-0.42,-205,216,991,-266,E
-27.4,59.9,-93,8,0.08,0,-65,-3,52,152,505,273,143,91.1,-281,125,-221,-502,444,60,-0.19,0.29,-0.21,33,44,18,-466,224,284,178,-18.8,137,-0.37,-209,217,978,-265,E
-27.5,59.9,-93,9,0.11,0,-66,-3,52,147,502,281,142,90.9,-281,126,-221,-505,445,72,-0.26,0.27,-0.18,19,53,23,-465,215,291,177,-18.9,137,-0.32,-206,222,973,-271,E
-27.5,60,-92.9,9,0.11,0,-68,-2,53,146,502,281,141,90.7,-279,127,-220,-490,449,80,-0.31,0.26,-0.16,-2,63,32,-462,217,289,177,-18.9,137,-0.32,-206,221,971,-261,E
-27.6,60.1,-92.9,9,0.11,0,-69,-1,52,152,491,278,140,90.5,-277,124,-215,-495,456,75,-0.29,0.19,-0.15,-2,71,37,-456,222,287,176,-18.9,137,-0.34,-205,219,969,-253,E
-27.7,60.2,-92.9,9,0.13,-0.02,-70,-1,51,143,499,277,140,90.4,-278,123,-218,-491,454,87,-0.21,0.1,-0.18,13,77,33,-459,216,300,176,-18.9,137,-0.35,-208,221,955,-259,E
-27.8,60.2,-92.9,9,0.11,-0.02,-71,-3,50,152,501,281,139,90.4,-277,123,-217,-495,457,80,-0.1,0.11,-0.28,15,68,32,-463,208,297,176,-18.9,137,-0.37,-216,223,959,-250,E
-27.9,60.3,-92.8,9,0.1,-0.02,-69,-3,50,148,497,284,139,90.4,-276,126,-216,-492,454,81,0,0.19,-0.44,12,57,35,-463,216,288,176,-18.8,137,-0.31,-225,223,955,-250,E
-28,60.3,-92.8,9,0.1,-0.02,-69,-2,48,151,503,281,138,90.5,-277,127,-216,-493,458,82,0.08,0.22,-0.69,20,44,42,-470,215,294,176,-18.8,137,-0.22,-227,220,962,-249,E
-28,60.2,-92.7,9,0.1,-0.02,-69,-1,51,139,500,281,138,90.7,-277,127,-215,-486,451,85,0.11,0.19,-0.9,32,41,46,-475,203,293,176,-18.7,137,-0.13,-225,219,961,-250,E
-28.1,60.3,-92.7,8,0.1,-0.02,-66,-1,48,144,508,276,138,90.9,-277,127,-215,-492,459,105,0.14,0.13,-1,47,49,54,-479,199,300,176,-18.5,137,-0.03,-223,218,965,-250,E
-28,60.2,-92.5,8,0.1,-0.03,-63,-2,49,144,500,282,139,91.2,-275,129,-211,-487,449,92,0.18,0.1,-1,53,60,58,-476,184,298,176,-18.3,136,0.02,-220,221,969,-250,E
-28,60.1,-92.4,8,0.11,-0.02,-64,-3,47,142,503,281,139,91.5,-276,128,-213,-495,450,77,0.21,0.11,-0.98,57,62,56,-481,171,294,177,-18.2,136,-0.03,-217,223,973,-250,E
-27.8,60,-92.2,8,0.13,-0.02,-65,-3,48,142,501,289,139,91.7,-277,126,-211,-500,453,92,0.19,0.14,-0.95,58,56,58,-486,162,298,177,-17.9,136,-0.14,-216,222,982,-250,E
0.75,5.82,-88.4,5,0.02,0.02,-14,3,49,54,643,-310,0,0,-222,186,-88,161,325,538,0.35,0.14,-0.46,-142,143,-201,-528,293,111,152,-4.14,90.1,0.06,193,-163,686,777,E
0.75,5.82,-88.4,5,0.03,0,-15,3,47,51,635,-296,0,0,-195,162,28,121,333,544,0.35,0.14,-0.48,-142,143,-200,-528,285,102,151,-4.02,90.1,-0.02,197,-163,681,775,E
0.76,5.85,-88.4,4,0.05,0,-13,1,42,55,635,-307,0,0,-254,193,8,24,366,554,0.35,0.14,-0.46,-142,144,-197,-527,288,110,151,-3.99,90,0.02,195,-162,680,777,E
0.76,5.84,-88.3,5,0.03,0,-13,2,44,52,632,-298,0,0,-346,229,-94,-25,394,541,0.35,0.16,-0.44,-144,147,-196,-527,284,103,151,-4.02,90,0.03,192,-160,690,781,E
142,-36.2,132,19,0.37,-0.56,43,29,-174,197,577,-343,-96.4,69.5,62,-151,-360,392,-78,-522,-0.11,0.14,0.41,-32,39,-175,-628,107,5,0,0,0,-0.37,-258,-51,-697,-115,E
141,-36.3,132,19,0.37,-0.56,43,34,-177,194,579,-351,-95,67.3,74,-149,-346,408,-74,-513,-0.26,0.21,0.56,-30,41,-173,-622,113,0,0,0,0,-0.21,-259,-51,-700,-126,E
140,-36.5,133,19,0.34,-0.56,45,33,-176,191,582,-348,-93.1,64.3,78,-147,-329,439,-71,-489,-0.35,0.31,0.71,-32,46,-176,-616,121,4,0,0,0,-0.1,-260,-55,-699,-125,E
140,-36.6,133,19,0.32,-0.56,46,33,-177,192,585,-333,-90.9,61.1,74,-144,-333,457,-70,-496,-0.48,0.43,0.84,-36,49,-173,-618,136,13,0,0,0,0.19,-267,-63,-707,-137,E
139,-36.7,133,19,0.31,-0.54,46,31,-175,194,589,-329,-88.4,57.4,74,-139,-332,491,-62,-477,-0.59,0.58,0.9,-35,48,-166,-615,136,13,0,0,0,0.66,-262,-74,-714,-131,E
139,-36.8,134,18,0.31,-0.52,47,32,-172,193,597,-328,-85.8,53.6,80,-137,-312,531,-60,-458,-0.71,0.72,0.97,-38,48,-157,-612,153,43,0,0,0,1.04,-254,-75,-715,-134,E
138,-36.9,134,19,0.29,-0.51,46,37,-172,191,592,-321,-83,49.5,84,-139,-302,544,-49,-439,-0.79,0.83,1.07,-43,50,-151,-605,162,45,0,0,0,1.25,-250,-75,-700,-139,E
137,-37,134,18,0.29,-0.52,45,41,-169,189,593,-301,-79.6,44.7,87,-138,-286,580,-37,-407,-0.87,0.95,1.15,-49,56,-146,-595,187,47,0,0,0,1.49,-265,-79,-698,-118,E
137,-37.1,135,18,0.27,-0.52,43,38,-165,190,593,-298,-75.8,39.2,82,-130,-279,621,-33,-372,-0.93,1.06,1.23,-54,62,-144,-590,187,52,0,0,0,1.85,-258,-79,-685,-120,E
136,-37.1,135,18,0.24,-0.54,43,37,-164,189,600,-302,-72.1,33.7,76,-124,-274,634,-10,-347,-1,1.17,1.31,-59,70,-138,-578,225,47,0,0,0,2.09,-250,-78,-673,-110,E
136,-37.2,135,17,0.24,-0.52,42,35,-160,192,597,-295,-68.2,27.6,76,-125,-231,666,-9,-305,-1.06,1.3,1.39,-64,79,-131,-565,234,63,0,0,0,2.26,-251,-73,-670,-92,E
135,-37.2,135,17,0.22,-0.51,43,35,-159,193,601,-297,-65.2,22.5,68,-123,-218,699,13,-249,-1.09,1.41,1.33,-65,82,-124,-552,266,82,0,0,0,2.36,-255,-70,-656,-74,E
135,-37.2,136,17,0.22,-0.49,42,36,-157,189,607,-283,-62.1,16.7,60,-114,-212,710,26,-231,-1.09,1.45,1.12,-61,77,-120,-540,274,73,0,0,0,2.49,-264,-68,-640,-61,E
134,-37.3,136,17,0.21,-0.46,44,33,-154,190,600,-289,-59.7,11.4,56,-105,-201,735,43,-152,-1.08,1.48,0.82,-58,75,-120,-526,310,88,0,0,0,2.63,-258,-66,-607,-22,E
134,-37.3,136,16,0.21,-0.43,43,33,-152,188,609,-276,-57.4,6.05,55,-97,-175,739,64,-137,-1.04,1.56,0.64,-56,80,-119,-504,337,111,0,0,0,2.84,-261,-63,-588,-12,E
133,-37.4,136,17,0.19,-0.38,41,39,-156,190,602,-276,-54.8,0.97,60,-100,-132,740,90,-64,-1.11,1.65,0.69,-59,95,-114,-489,346,104,0,0,0,2.95,-250,-59,-557,37,E
133,-37.4,136,17,0.16,-0.36,42,44,-158,188,612,-272,-50.7,-5.56,39,-80,-129,734,121,-6,-1.17,1.75,0.71,-64,106,-109,-459,380,126,0,0,0,3,-260,-55,-536,46,E
133,-37.4,136,17,0.14,-0.36,42,44,-160,187,612,-277,-46.7,-11.4,10,-49,-140,723,143,37,-1.16,1.81,0.56,-63,117,-109,-446,389,118,0,0,0,3.05,-266,-54,-483,103,E
133,-37.4,136,17,0.11,-0.33,38,40,-155,188,611,-269,-42,-18.1,10,-30,-102,705,180,88,-1.09,1.88,0.31,-54,123,-102,-418,420,128,0,0,0,3.18,-275,-49,-457,127,E
133,-37.4,136,17,0.06,-0.31,43,42,-157,183,613,-273,-37.8,-24.4,-9,-13,-32,690,196,131,-1.04,1.96,0.11,-51,138,-93,-399,431,138,0,0,0,3.44,-271,-46,-401,177,E
132,-37.3,136,17,0.03,-0.31,47,41,-157,190,613,-262,-33.8,-30.3,-27,-2,-29,653,238,178,-1.04,1.99,0.03,-52,152,-86,-358,459,144,0,0,0,3.5,-269,-39,-361,214,E
132,-37.2,136,17,-0.02,-0.3,48,45,-155,188,608,-266,-30.5,-35.9,-34,7,-17,601,264,236,-1.04,1.93,0.15,-49,171,-82,-344,469,158,0,0,0,3.47,-278,-33,-289,277,E
132,-37.1,136,17,-0.03,-0.28,46,44,-156,179,618,-266,-27.8,-41.1,-40,22,29,579,283,264,-1,1.8,0.33,-33,179,-83,-307,484,159,0,0,0,3.56,-289,-28,-259,298,E
132,-37,136,17,-0.05,-0.25,50,40,-155,189,616,-265,-26.1,-46.2,-78,38,47,519,309,322,-0.93,1.7,0.44,-15,185,-85,-293,488,155,0,0,0,4.05,-286,-32,-176,363,E
132,-36.9,136,17,-0.05,-0.21,55,38,-152,185,609,-265,-26,-50.3,-123,32,14,491,312,361,-0.88,1.69,0.46,-12,188,-84,-260,507,172,0,0,0,4.14,-242,-20,-142,395,E
132,-36.8,136,17,-0.02,-0.18,57,39,-150,188,618,-262,-26.4,-54.2,-128,19,25,421,321,402,-0.82,1.59,0.41,-14,186,-82,-248,521,160,0,0,0,3.95,-275,-5,-65,445,E
